sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
isixhosa_094,isiXhosa,chiefs ke chelsea that went to public school kancane kancane iyavela🤣🚮,neutral,True,2,11,Twitter
isixhosa_095,isiXhosa,sisandasigidi ubaxelele ndiyabulela for intervening in my absentia 🤌🤌🤌,positive,True,1,8,Twitter
isixhosa_096,isiXhosa,lejaka1 buhle mahlangu1 futhi i really cant sibadala kangaka kodwa uyasisanganisa😂😂😂,positive,True,3,11,Twitter
isixhosa_097,isiXhosa,rafaelh117 highly possible pep is a hard man to please,negative,True,4,10,Twitter
isixhosa_098,isiXhosa,tamongs92 yintoni i peanut butter ngesixhosa,negative,True,1,6,Twitter
isixhosa_099,isiXhosa,sebabatso barbs artielm who i dont understand,neutral,True,3,7,Twitter
isixhosa_100,isiXhosa,carwootah and zirhola kakuhle eza chap,positive,True,1,6,Twitter
isixhosa_101,isiXhosa,papaamama bona chrisexcel102 how is that working out for you okanye uyaqamza nje,neutral,True,4,13,Twitter
isixhosa_102,isiXhosa,michaelbucwa pity that she won’t understand what you tweeted here khuluma bro 😂,positive,True,5,13,Twitter
isixhosa_103,isiXhosa,mswenklondon soze 😂😂😂it cant be 14,positive,True,3,5,Twitter
isixhosa_104,isiXhosa,ori rsa ori usudlile khehla😂😂😂ngathi ulambiledoes he even understand zulu though 😭,negative,True,1,12,Twitter
isixhosa_105,isiXhosa,the way yall love this ba straata song mara masithi yall for the streets la kwata e ra gorr inkinga islungu,neutral,True,4,21,Twitter
isixhosa_106,isiXhosa,pule madondo can i answer you mangithola umsebenzi i owe myself a celebration shem,neutral,True,5,14,Twitter
isixhosa_107,isiXhosa,nginguhlengi akalenzi iphutha obanana always,negative,True,1,5,Twitter
isixhosa_108,isiXhosa,qokani stiff pap nesibindi or namaqanda zimnandi kangaka,positive,True,1,8,Twitter
isixhosa_109,isiXhosa,skibha looking at the initial tweet of this thread uwena owadingayo udle ngoba ulambile futhi,negative,True,2,15,Twitter
isixhosa_110,isiXhosa,my fave is a whole mood my addict bethuna 😍😍 bbtitans,positive,True,4,10,Twitter
isixhosa_111,isiXhosa,mthigo inkinga people are failing to see the problem with that ad,negative,True,4,12,Twitter
isixhosa_112,isiXhosa,when mshunqisi says ngempela ngempela ngempela ngempela ngempela,neutral,True,1,8,Twitter
isixhosa_113,isiXhosa,chrisexcel102 wish someone could just inform him that as a country asivani nabantu abaziphethe ubuphara aziphathe kakuhle,positive,True,4,17,Twitter
isixhosa_114,isiXhosa,king thukzin mthembu and inyama yenhloko yakhonaehostel uyanela 🤝,neutral,True,1,8,Twitter
isixhosa_115,isiXhosa,ngaske uvoetsek with this nonsense,neutral,True,1,5,Twitter
isixhosa_116,isiXhosa,justbongza 🤣🤣🤣 yes youim sure ne vaylense izokwehla kancinci,negative,True,1,8,Twitter
isixhosa_117,isiXhosa,1 segaetshom jonga im already planning my umembeso😭😭,negative,True,2,7,Twitter
isixhosa_118,isiXhosa,inoba what is life na sana,neutral,True,2,6,Twitter
isixhosa_119,isiXhosa,msmabala yaz i noticed its soo crazy some show the location 😭 cabanga in this country 😳,negative,True,3,15,Twitter
isixhosa_120,isiXhosa,lmkonqo qala le 6th anniversary ngeye 6months or 6years kaloku kumele kucace,neutral,True,1,12,Twitter
isixhosa_121,isiXhosa,sjmauryy if someone interests you that much uyamngena…the rest keh uyobona phambili😹,positive,True,5,13,Twitter
isixhosa_122,isiXhosa,thato nmv it said jonga mna,negative,True,1,6,Twitter
isixhosa_123,isiXhosa,glendumi1 maagarash inganekwane lento yenu ye politikimina abantu abalandela ozumamalemaramaphosa and many more ababhadlanga ekhandaabantu abangadliwa yi 3 card ejozi in my terms ububharinyana lento,negative,True,4,24,Twitter
isixhosa_124,isiXhosa,😂 i tweeted the other day here we live with people who finish 5 years bangaboni umlungu or a tall building,negative,True,7,19,Twitter
isixhosa_125,isiXhosa,errolbsk yes illegally so kodwa ke icala aliboli,negative,True,2,8,Twitter
isixhosa_126,isiXhosa,this is unacceptable nam angwathandi amasi bhut this no,neutral,True,4,9,Twitter
isixhosa_127,isiXhosa,only ever had one crush in school it wasnt that deep just thought he was kinda cute ended up dating him we were so cute bethuna 😍,positive,True,11,26,Twitter
isixhosa_128,isiXhosa,cozminontsomi and to think they are trying to normalise it hay sies maarni don’t even find my cousins attractive babatywa kakubi abantu,negative,True,5,23,Twitter
isixhosa_129,isiXhosa,crypto monnk myanc wiii labo… bahlulwa umsebenzi why mele kube namaveteran on these big companies thina esasingekho kumzabalazo ngeke sizinuke lezaykhundla,negative,True,2,21,Twitter
isixhosa_130,isiXhosa,my crush is so great bethuna look for material,neutral,True,3,9,Twitter
isixhosa_131,isiXhosa,sibugx inkinga yami i want to achieve all this in 2 days☹️,negative,True,2,11,Twitter
isixhosa_132,isiXhosa,amanga were exposed dmfmzansi datemyfamilysa,negative,True,1,5,Twitter
isixhosa_133,isiXhosa,floss reigh nam ndifuna eyam iapology🤣🤣🤣 basebenza iover time namhlanje and i like it,negative,True,4,14,Twitter
isixhosa_134,isiXhosa,am buddahman loool hayibo soze what happened,negative,True,2,7,Twitter
isixhosa_135,isiXhosa,madam pb what if andinayo isize,neutral,True,2,6,Twitter
isixhosa_136,isiXhosa,i just knew soze behlefuck,neutral,True,2,5,Twitter
isixhosa_137,isiXhosa,the previous load shedding scheduled ended at 2030 and at 2100 another one kicked in… wow yintoni le esikuyo 😩,negative,True,3,17,Twitter
isixhosa_138,isiXhosa,mdnnewss abanye bacabanga ukuthi sizonesa ama feelings wabo la if you cant read isizulu then musa ukuthanda izindaba,negative,True,3,18,Twitter
isixhosa_139,isiXhosa,that bubble yintoni le ukuyo let’s meet at our spot,negative,True,2,11,Twitter
isixhosa_140,isiXhosa,koko matshela uxolo bra yam hope you come right💪🏽,positive,True,1,9,Twitter
isixhosa_141,isiXhosa,zimasamatiwane phofu our grandfather was an only child but yena wenza sure,negative,True,5,12,Twitter
isixhosa_142,isiXhosa,mat boschh they should hire that man as a stuntman umosha iskhathi doing deliveries,negative,True,4,14,Twitter
isixhosa_143,isiXhosa,helenzille jeandre lennox jsteenhuisen uyaxoka madamtell us the truth,negative,True,2,9,Twitter
isixhosa_144,isiXhosa,ndiyaybawela ke lentwana qha iworry yam imuncu okwe lemoni ngaske athule andizekise qha lol,negative,True,1,14,Twitter
isixhosa_145,isiXhosa,blessing xaba nodangala4 thetruthpanther some kids only eat at school and i dont even think they eat amasi monfri such a behavior can not be promoted,neutral,True,10,26,Twitter
isixhosa_146,isiXhosa,sjavas music gives me so much hope nesami isimo sizolunga,neutral,True,3,10,Twitter
isixhosa_147,isiXhosa,mphahlele now is solid unlike when he played for us his knees were not that strong i suspect something is not right over there noba yintoni,negative,True,13,26,Twitter
isixhosa_148,isiXhosa,oh my girl khosi bethuna 😍bbtitans,positive,True,1,6,Twitter
isixhosa_149,isiXhosa,fitmasi kha ubuye kengoku so we can have a waxing date 😂😂🤣,positive,True,5,11,Twitter
isixhosa_150,isiXhosa,gugla grl uhlalaphi maybe inkinga ilapho lol,positive,True,2,7,Twitter
isixhosa_151,isiXhosa,china mobile global graduate trainee programme 2023 in johannesburg jobseekerssa | jobalert | job | saps | kingsofjoburg | south africans | vusi | amasi | omega 3 |,neutral,True,1,18,Twitter
isixhosa_152,isiXhosa,i’m too old to be waking up alone😭 lixesha loba nditshate okanye ndihlalisane eli,negative,True,2,15,Twitter
isixhosa_153,isiXhosa,makazi uchomie coming through with a lecturemotivation love yaya bbtitans,neutral,True,2,10,Twitter
isixhosa_154,isiXhosa,mzamatolo spoil or yiqhele kakubi 😂😂😂,negative,True,1,5,Twitter
isixhosa_155,isiXhosa,i think a lot of men need to listen to this penuel the black pen | in conversation phesheya duma varsity uber busi via youtube,neutral,True,4,24,Twitter
isixhosa_156,isiXhosa,trinet12 dzumasambudla hey wena dont spell your nxamalala in xhosa nxn asingeni ndawo thina kulo ngxaki yenu,neutral,True,2,17,Twitter
isixhosa_157,isiXhosa,jenni did bbl kutheni kengku esisi shwapa,neutral,True,1,7,Twitter
isixhosa_158,isiXhosa,ukhozifmvabsngicela ukt happy birthday kuakhona sphumelele zuma indodakazi kakholwa kwandaya akhule nje 🎂 🥳 🎉 🎈 djsgqemeza mrozawangempel ukhozi fm,positive,True,1,16,Twitter
isixhosa_159,isiXhosa,akhonto ityafisayo like a gent that wears shady sneakers 😔 why unxibe itiger zuko,negative,True,4,13,Twitter
isixhosa_160,isiXhosa,teezer lol as she should but uxolo😂😂,positive,True,4,7,Twitter
isixhosa_161,isiXhosa,6 cars being stolen from the dealership is quite wild,neutral,True,3,9,Twitter
isixhosa_162,isiXhosa,if ufuna umshado firstly u must put it into ur big head uba indoda inhloko yekhaya,negative,True,2,16,Twitter
isixhosa_163,isiXhosa,khalathinene2 sometimes amanga awasdingi isbongo ngisekhaya was enough 💁‍♂️😂,positive,True,1,8,Twitter
isixhosa_164,isiXhosa,xhantipayi your advice please mhlekazi a matriculant is interested in studying econometrics which universityies would you recommend,positive,True,7,17,Twitter
isixhosa_165,isiXhosa,oluchy inkinga ilobhuti lo 🍆 he stands up when umlingani wakhe is around 🍑,positive,True,3,12,Twitter
isixhosa_166,isiXhosa,havana bloom yes ngibe happy once😩🤣cabanga sengi trend nalezicathulo 💀💀,negative,True,2,10,Twitter
isixhosa_167,isiXhosa,hes still with yvonne bethuna 🤣🤣,neutral,True,1,5,Twitter
isixhosa_168,isiXhosa,cishe ngathi sebenza brown envelope lol,neutral,True,1,6,Twitter
isixhosa_169,isiXhosa,madmontana no i for one dont believe in instant success keep it very far away it rarely works,negative,True,6,18,Twitter
isixhosa_170,isiXhosa,sbewuomuhle comfortmnguni mdnnewss angekeandiyi and andizisoze😎,positive,True,1,6,Twitter
isixhosa_171,isiXhosa,joyblackza our beautiful big sister❤️owethu sonke usis fikz bethuna 😘,positive,True,1,10,Twitter
isixhosa_172,isiXhosa,mosaroccoii wena uzawuthola kanjani umsebenzi ngesingisi esigamuke so,neutral,True,1,8,Twitter
isixhosa_173,isiXhosa,ujekebuzi lutho i slept at 3am binge watching on netflix,neutral,True,2,10,Twitter
isixhosa_174,isiXhosa,ke tshela ka anxiety confidence and esteem issues but i think i turned out okay 😊,positive,True,6,15,Twitter
isixhosa_175,isiXhosa,madunasizakele 😂😂😂🤣🤣🤣 only time will tell xolisa kusase early,positive,True,2,8,Twitter
isixhosa_176,isiXhosa,ukhozi fm ngicela ukuthi happy birthday ku akhona inganekakholwa zuma ukhozifmvabs,neutral,True,1,11,Twitter
isixhosa_177,isiXhosa,uluyanda gama bafo khandifake ezi taxinindifuna le line yase riverside viewill help you with excel 😂😂,negative,True,1,15,Twitter
isixhosa_178,isiXhosa,girlies jump into the uber…mlungisi oh and ndicela ukudlala u beyoncé bhuti,positive,True,2,13,Twitter
isixhosa_179,isiXhosa,nhlanhlathembah khona khona laim sure sekhona osecele inamba inkinga nje ukuthola umuntu onama good intentions,neutral,True,1,15,Twitter
isixhosa_180,isiXhosa,i will never switch on amp off my geyser i don’t noba umbane is expensive,negative,True,6,16,Twitter
isixhosa_181,isiXhosa,mvelasep what kind of nyanga are you you already predicted 2033 manje wena have you done predictions for your own life,neutral,True,9,20,Twitter
isixhosa_182,isiXhosa,carwootah yey why umnka ixesha elingakai thought yi 2 hours😳,positive,True,1,9,Twitter
isixhosa_183,isiXhosa,busani mtalanam soze in gunners we trust,neutral,True,1,7,Twitter
isixhosa_184,isiXhosa,pirates supporters i know the pain we felt it kwi chiefsnantsi i50kg ye grandpa guys it will eas the pain lol,neutral,True,9,22,Twitter
isixhosa_185,isiXhosa,i’m sure ingase ayiqubule imoto athi ukuyihlehlisa kancane ecaleni 🤣🤣😂😭😭😭,negative,True,1,10,Twitter
isixhosa_186,isiXhosa,lindilesifile ndilibele but sowetan is retweeting me,neutral,True,3,7,Twitter
isixhosa_187,isiXhosa,veejay jacobs chomi i thought ndine ngxaki thanks for this,neutral,True,3,10,Twitter
isixhosa_188,isiXhosa,chrisexcel102 uyaxoka kwedin january transfer window we will do the things,negative,True,4,11,Twitter
isixhosa_189,isiXhosa,zsimayi lindiwesisulusa you forgot about zizi kodwa and gwede mantashe mhlekazi,positive,True,2,11,Twitter
isixhosa_190,isiXhosa,bulela u dont have to use emotional blackmail for clout at the officers expense an the people who suffered ubolile,positive,True,6,20,Twitter
isixhosa_191,isiXhosa,i wanna laugh at that jali and chris tweet mara i dont want mhlekazi to block me 🤣🤣😂,positive,True,6,17,Twitter
isixhosa_192,isiXhosa,onezwa that time bendi encouraga ke mna bendingaphoxisibut akhonto wethu nomdade,negative,True,1,11,Twitter
isixhosa_193,isiXhosa,mendy ukhe watsiba esenegal or even france phofu,neutral,True,1,8,Twitter
isixhosa_194,isiXhosa,anny944 ndicinga ujoin sisi qha ndisa cinga how i’m going to fit that in my schedule,neutral,True,4,17,Twitter
isixhosa_195,isiXhosa,luna sowata nalo o zishakayo kancane is making it worse 🫠,neutral,True,2,10,Twitter
isixhosa_196,isiXhosa,stemyhun jonga one thing about my home town bahle va i have exact same experience xa ndize apho🙆🏾‍♀️🙆🏾‍♀️🙆🏾‍♀️❤️‍🔥❤️‍🔥 ndiyakuva mna 🤞🏾,positive,True,4,20,Twitter
isixhosa_197,isiXhosa,ingaske kuthwe masikhe singathethi ngamadoda for at least a week,neutral,True,1,10,Twitter
isixhosa_198,isiXhosa,zoemkoena thenga ibhodlela usele what okunye zokubona ngomso 🤷,neutral,True,1,8,Twitter
isixhosa_199,isiXhosa,johnmcardozo1 what are they stealing kanti nantsi inyama phantsi nje 🙆🏽‍♂️🙆🏽‍♂️,positive,True,3,10,Twitter
isixhosa_200,isiXhosa,let’s not forget who kabza de small is kaloku majimboz,neutral,True,3,11,Twitter
isixhosa_201,isiXhosa,siviwe gs mxoduda look2windwards tamie4life yes uyazi kakuhle mntase 😂,positive,True,1,11,Twitter
isixhosa_202,isiXhosa,sasah thunzi im alright how are you ezami izindaba are very bad lately manje i dont really have time for my phone 😖,negative,True,11,22,Twitter
isixhosa_203,isiXhosa,ncamsile actually thats not right ngoba the time usudla ntambama uzodla kakhulu coz you havent eaten usuku lonke,positive,True,3,18,Twitter
isixhosa_204,isiXhosa,nelisa is crying yoh bethuna,neutral,True,1,5,Twitter
isixhosa_205,isiXhosa,mthojileka caba pregnancy izisa ingxaki in a relationship,negative,True,1,8,Twitter
isixhosa_206,isiXhosa,gamalamliyabiza theee advisor costanazi lekoloanemanam2 tumikeboss bchinyakata am nanakofi1 mona tef lutho bafo 🤣🤣🤣,neutral,True,1,13,Twitter
isixhosa_207,isiXhosa,africanmannnn ntandosgudla i think ezam leyngane eng’khuluma ngazo,neutral,True,1,9,Twitter
isixhosa_208,isiXhosa,irvinxavi1 lutho 😭 we are enough with takeaways angeke 🥹,negative,True,2,8,Twitter
isixhosa_209,isiXhosa,the way everyone is helping 😭😭😭😭 ndiyabulela from the bottom of my heart🙏🏽,positive,True,4,12,Twitter
isixhosa_210,isiXhosa,ncncnc even though kanene pha emsebenzini same quarter ndikhe ndathukwa ndagcwaliselwa ndingenatyala ey bethuna but still performed so well 🥹,negative,True,3,19,Twitter
isixhosa_211,isiXhosa,sammy921027 gift sehlola realmrumadrive that was my question bafo ngoba naku statement wawngaveli nokuthi uthathwe ubani impendulo engayithola bathi bank charges,negative,True,4,21,Twitter
isixhosa_212,isiXhosa,kaysexwale kaloku yeyakhe nje how dare you want to mute the chief tweet,neutral,True,3,13,Twitter
isixhosa_213,isiXhosa,bonganiii why kancan kancane kakhulu kakhulu,positive,True,1,6,Twitter
