Clean_tweets;Labels
my mom amp i just ubered from point a to b it costed r28 now we just ubered back from point b to a it’s r31 uthi umama “yhey caba iyenyuka indlela ebuyayo inamaqhina sana” abazali 😂😭🤣👎🏽 ;negative
dumi mp ingathi iyathengisa phaya ;negative
radio2000 za molweni youthendala theglenzitosuperdrivemasigodukeni hawuweng ;positive
sa crime so that they can be arrested for 4 years start with the rulers of the world politicians and heartless murders who takes blood moneya mere 12 million soze balekan bantase ;negative
d impholeeuw ohhh bethuna ;neutral
pmcafrica enca that uzekum okanye uzemlilweni🤣🤣🤣yin ubeseshela yin umjita ;neutral
ziyalila ngempela la sizokthola ;negative
thembisago soze not wena dade 😭 ;negative
if ndingabanjiswa lona inoba ndinga right 😑 ;negative
aycawe for xhosa speakers it shouldnt be much of a hustle because of the shared vocabulary replace ndi with ngi eg ndizakubethagtngizakubetha ndiyaselagtngiyasela and so on also in the written form theres no ndr ntr eg umntwana intaba ;negative
mokgadi heart ewe yona r79 or so if ndikhumbula kakuhle ;positive
muvhangotshedza 😂😂 so uyalila ke ngoku ;negative
ntobeko njomane gubhela91 woke mbali mxelele😭😭😭 ;negative
sir golela abhatalwa kubani hayi kwe yam ilali kuya candwa nje free of charge ;negative
niyeva mos ;neutral
“suqumba kaloku nawe mabhabha” ;neutral
kwezingomsa ziculwayo kwezintsuku nawe ungazibona uyiyo imvumithatha nje noba zezingoma zasizicula sisebancinci ufake ibeat ye piano ushukume nje kancinci uthi uyajaiva nantso ihitkhawutsho ke ungacula eyiphi ingoma kwezingoma sasizicula xa sidlalaiql no samora mangesi ;negative
nosisa fezeka amasi awazi lutho ngelektosi izinto zabelungu lezo💀 ;negative
sa tourism fc ;neutral
zkula9 wokefather21 phuti nkosi advobarryroux oksalayo uthetha uthuvi wena nantsika ;negative
flo letoaba loved this ad to when creatives were still creativeshawu kaloku it is only us who were made for this life 😂 they were found shaking just imagining it ;positive
i love my natural hair but the maintenance and upkeep is too much for me 😒 ;negative
skhulu as simple as that inganekwane ;neutral
🤣🤣🤣🤣 uxolo ;positive
oluchy inkinga ilobhuti lo 🍆 he stands up when umlingani wakhe is around 🍑 ;positive
putumz which race are you targeting for your qualifier kengoku ;neutral
zukhanyezakade sound like my man now 🤣🤣🤣🤣 athi yhini inkinga nguwe lowo u deletelani ;neutral
mamane wa le 2000 💝 ;positive
khayayozi yintoni i sgqa ;negative
the way i vent about being single ungaze ungidabukele kanti lutho i’m enjoying the era 😭 ;negative
yirhakaz bathi boyika ukwebelwa utywala ;negative
ntle star vuvyz yhooo hay sana bendizi jumpela nam kuzothwa nditheni ndisitya kangaka🤣😂😂😂 ;positive
very odd minister of edu udlala ibetway ngempela ;positive
sbumasang pheneas34920279 amanga lawo ;neutral
dear god no matter how much i love my boyfriend nkosi yami ngicela ngingamithi before umfana’yolobola those cows must cross the borders before he rearranges my womb for 9 months and causes change to my body amen 🙏🏾 ;positive
my nephew ta mnci ta mnci ngaske ndi screame 😩 ;negative
shakakhole lamiisto exactly plus one more mouth to feed haiiy soze ;neutral
advobarryroux cabanga 😤 ;negative
uwfmbee pastorthedj ntsabomluleki uwfm88 106fm bendiqala ngqa ukugqajukelwa ngamavili amabini ngaxeshanye oko ndaqhuba phofu kusebusuku ndothuke ngoncedo lwamaphara selulapha bebhethe nevili elibonakalayo libiwe but bendingena choice ndalithenga ;negative
auntyscoobydoo uxolo i have the space on the speaker i didn’t check the speakers but ke you sound alike😂😂😂 ;positive
sisandaq nazoke 👌ekugcineni kuzothi damu 🤞 ;positive
“yho hayi mhlomhle kutheni ungayeki uncuma nje”… caba abantu bafuna ndiqumbe ilanga iphumile ndiphinde ndibe nequla elifresh nje nge fade yam chill on me man 😂😂 ;negative
xelela ngo cyril kemna sanato be honest mna im starting to feel nervous about the day when he will have to vacate officengathi uphopho uthi ndiwa nalo bomotase ;neutral
mvelasep what kind of nyanga are you you already predicted 2033 manje wena have you done predictions for your own life ;neutral
vee weh mini yonke mamngwevu ndiyabulela ❤️ ;positive
abramjee eskom sa sick n tired amanga alenja 👃🏽 ;neutral
screen nje lutho abavumi ;neutral
sinazoyolwa ndiyabetha ke sinazo ngalo umntwana watchingyou ;neutral
cobratate may allah protect you ;neutral
andilejali870 mhlekazi omhle ungafi wena uzawufelwa ngim ;positive
scrollaafrica phuthu and amasi thats freethis is not a restaurantbring your own lunchtin and moneyif you are tired of eatingother kids have no choice but too eatwhy bafaka abanye abantwana endabeni yabo yokusanxa dodi🤬 ;negative
fatherofming that’s why some of your guys’ manifestations don’t come to fruition cause y’all be telling the world and forgetting that isitha somuntu inhliziyo not everyone wants to see you happy but ke we live and we learn ;negative
senzoqwabe6 iqabaz ayikho lensizwa le seyikho kut idibane nabanye nje abangaz lutho ngeke kwabukelwa cisho kubukelwa kuthiwa ngibhekene nayo🤞🏾 ;negative
😭yhu yintoni efouna ngeepast 5 ubhuti ;negative
angisho niyezwa 😂😂😂 ;positive
tsikinosky moshekid scrollaafrica my brothers school zama high in newcastle serves amasi ;neutral
nenzani ngempela egymini kaizerchiefs ;neutral
instead of reading the books that i already have ndithenga ezinye 🤢🤢 phofu i’m a broke boi ;neutral
bnjalo artist inoba mnandi kum coz andithandi uvuka i dont mind working until 1930 kuvuka oku okuyingxaki ;negative
kganyamoeti 😂😂😂😂😂 mxelele ;positive
sirmthembu soze ndibhitye zintsayza ke ;neutral
i’m sooo grateful to god for this ingaske sibuyele emva ndimphathise umnqamlezo ;negative
advnchodu pheza nawe kaloku ;neutral
eskom sa kuthiwa angizocela iadress kuyaphuthuma ;neutral
tried this solo date thing last week nah soze 🤣😹 ;positive
soze ndizibulale for indoda not even for your legend sonia booth ;neutral
themba6012 azikhale 😂 uxolo bhuti 😃 ;positive
siphojay1 kopzero 😂 lutho mbhemi ;positive
t mxo57 siya kantombela janet nzabe ey mbuyazi ndidikiwe eks moeg bafo maybe someday ngiyozama ukuthi kungapheli ;negative
jonga akhonto ixolisa intliziyo njengolilaim such a cry baby and it always helps to let it all out ;negative
noeyebrows mbuyisenindlozi ngiyafisa inkosi ikuphe amandla usinde ululame ngokushesha nabenzi ngobubi bajeze ;positive
mguyethebe inganekwane 🤣🤣🤣🤣 ;neutral
sisandaq wena mysister uphila impilo🔥🔥🔥 how old are you ;positive
inkatha iyeka these easy wins yathengela abantu utshwala kwaphela kanjalo ;negative
soze ndiphinde shem 😭😭😭 ;negative
gante keng bathong intoni ke ngoku ;negative
mapengo living at or leavingniyathanda ukukhuluma ukuphapha kanti anazi lutho ;positive
humble deekay michshoxen inkinga ileyo yol say you want kids n when it happens umuntu abande…like why ;negative
04octobergang ucamera man yini inkinga yakhe ;neutral
sengathi uzoba inkinga ;neutral
ntobeko njomane simyeke ntosh or ndi bize abahlali siithete lendaba cos wow inoba uyi accomplice 🤣🤣🤣 ;negative
qoboqobo4 umntu wasemthatha uyahooter gqithi ;neutral
gudisile khizzie hlubizer dlamaqhinga black putin gudeka ubusando wina lothooo wena mkhuluwa okanye ndiyosithenga eshoprite likhwaa esishebo khawenze 🤣🤣 ;negative
lwand0ski hayi jonga lodoti ndawubona next month now 😭 ;negative
knuckleehead eyi khohlwa lee 😂😂😂 ;positive
therealnelly90 uvel uqonde yesses bloody eskom jou kont 😡😡 even if akhonto ubuzakuyenza zivele zibeninzi once kuthi qhwaarha ;negative
missthembakazi ngithi uzonda umsebenzi wonke wa sendlini u zo phila ka njani 😂 ;positive
enca abame kancane labo asinagesi ;negative
jgz foundation but we are not surprised coz umsebenzi sewenzile h e president zuma which is to continue exposing our captured judicial ;positive
jonga i love onono but lets not mislead abahlali ;negative
ukhozifmvabs mrozawangempel ukhozi fm ngicela ukuthi happy birthday kundumiso fingers danisa ekranskop odume ngo ndodah akhule aluthokozele usuku lwakhe ;neutral
mnix27 hayibo who is this kengoku 😭😭😭 ;negative
indoda ngyakwazi ukuyiwashela ngiyiphekele ngiyilethele ukudla ngetray ngicela umshado ;neutral
utywala never again ;negative
fikz the cook athigeleba 😂 ngicela le recipe ;positive
ntlasko07 mehlomakhulu87 usi sisininzi kaloku ;neutral
hlanyos okay asambe sosela utywala ekraaktafel ;negative
ugogo uthenge indwangu uyothungisa ingubo uthi ufuna ukuthungela nosande ishethi elizofaniselana nengubo yakhe 😫 mina angibalwa ndawo kulezinhlelo zakhe ;negative
mpandem who is we mhlekazi ;positive
newzroom405 uyaxoka lo ;negative
gtshipandu mphopielava musa ukukhuluma into ongayazi ;negative
mfoka jobe news just in they thought its you in that convoy mhlekazi ;positive
im just happy to see that people are willing to help clean up sizokthola ;neutral
mo magoda princesskeab are you the 1 come this side mhlekazi 😂😂😂😂😂🤣🤣🤣 ;positive
mmusimaimane the head is unethical address that first mhlekazi ;positive
bonokuhle a very good example but few of them have that star power kengoku ;positive
pulengsotomela uxolo bra like really im sorry bra that you had to go through this ;positive
anele2709 mhle nyani ke wethu kade ndikujongile ;positive
jamakaslwaneh instagram is personal mhlekazi so i dont share personal i just comment like and view ;positive
can’t believe iweather yaleveki is serious kushushu every day ;negative
umculi wowokholo futhi ongumsakazi ukhaya mthethwa ugonyuluke ngobunzima abhekene nabo bokuphila impilo ;negative
siphuma11 michshoxen soze ningabinayo ;neutral
monatexo ingxaki nini ;negative
🇿🇦 good morning ☀️sanibonani | molweni | dumelang | goeie môrehappy world wetlands dayhave a superb thursday staysafe ;positive
itha motsoari cinga net black of all colors tjoo ;neutral
thederrtyent niehaus carl uyaziva kakuhle phofu ;positive
bujalingo uxolo ke ndim owrongo 😌☺️ ;positive
lmkonqo ooh yhini mntlane indaba ezilusizi kangaka ngxesi ndiyayazi ke lanto yovele uchukumiseke ziqengqeleke iinyembezi 🥹 i guess its part of the healing processeyi kodwa ubalisa kamnandi shem yhu noba iindaba zibuhlungu zinjalo 🤭 ;negative
dabawo jonga ndizolala f😭 ;negative
akumadeadline ngaske kube dead mina welele ;neutral
lungelo69162005 banzo20 lutho ;negative
onke38617924 lutho phela🖐 ;neutral
akhonto indibora like the fact that i’m going to have to put my license to good use and v soon and my anxiety is getting the better of me like just the thought makes me want to puke nje ndiyoyika uqhuba bethuna yerr ;negative
gjing superman ngempela futhi ;positive
iamsasha its givingim sorry my baby ngicela uxolo ndikuxolele my baby you didnt mean it😂 ;positive
owami ss 🤣😂 ooh yhini amajita amanye azobe enxibe matching outfits 🫢 ;positive
nc rikhotso2 kutheni usibuza izinto zethu khona ;negative
impilo yasedolobheni inok’vala inqondo sjava atm ;neutral
khaliphaniiii uyeva ngoku ;neutral
lmkonqo okay ke ingabi namsebenzi intoba istory sakho tamkonqo asiphelelangauzosigqibezela na okanye nam ndifokofe ;negative
matinkosi yhuuuuuu yabona phaya zothe umlilo straight abafuni ubhatala plus abasebenzi zizigqila ;negative
afrikanchefza destinyzee i knew sizwe would pull the card own farms like there was no need for that b 🤷🏾‍♂️😂😂yerr le outie ibhonye umfoka dlomo wonke 🙆🏾‍♂️🤦🏾‍♂️cabanga ;negative
saturdayvibes saturdaythoughtsmbeki zuma malema ramaphosasundowns pitso jali orlando pirates 🙄🙄soze nilibone izulu🙄🙄 isihluku esingaka ;positive
this guy always looks good and always tries on camera only naye his annoying me isencanelengane ;neutral
whats up with petrol nyukile kwakhona ;neutral
uhmmmmmm i have uploaded 6 videos this month only and two this week inoba you want to see me dead and uploading everyday 😂😂 ;positive
aphelelejody because uyaxoka 🤣🤣🤣 ;negative
oaks were fiending for disappearing nudes in the dms ngela xesha what a dark time 😂 ;positive
sizwehosia weeee ne wheelbarrow andinayo😁😁 ;positive
the fergusons have such a beautiful house it’s huge bethuna kingsofjoburg2 ;positive
whats the use ni nikana ngobutshomi imisenzi okanye nifuna ukunyotywa ;negative
mathathokarabo prudencelera2 nkhetheniey she is really a bully and i wont let her bully me soze ;neutral
unkleken abantu badlala ngombani pha phandle ;negative
bkithebe do you want to be under correctional supervision mhlekazi 😂😅 ;positive
solphendukaa uthule ujiva phezulu emotweni beast ;positive
bluegold99 🤣🤣🤣 kunzima mhlekazi ;negative
akhonto ungayaziyo uyonwabele bhuti tsotsobeasa 🥰 🎉❤️ ;positive
molweni basakazi into engiyifisa ukuba yenzeke ezikolweni ukuthi abafundisi yikomidi nabazali babambisane ekulweni nalamaqoqo enziwa yizingane ngaphakathi naseduzane nezikole ezibhema ugwayi insangu nenyawupe ngoba kuphetha ngokufa kwesizwe ukhozifmvabs ;negative
we should be on this mode as south africans silindeni ngempela 🤦🏾 ;neutral
dyan carter amanga aluhlaza lawo ;negative
znonjiji uxolo sisi kodwa ngoba nkulunkulu mkhulu siyabonga ;positive
thopzin undu mk loadshedding happened khange ndibukele 🤦‍♀️ ;neutral
bibo george nothing wrong ive done this for myselfinkinga ukuthi everybody ends up in my outside room indlu enkulu is now indlu encane 😵 ;positive
jsteenhuisen udakiwe ngempela wena meet with you who are you msunu ;neutral
dumolwakhem but ufun uyenza kwakhona mos ngabo masuku nabo saleng 🙆🏾‍♂️😭 ;positive
timeslive he must stay on his lane and get out of politicswe didnt forget that he told the world that africa loves donald trumpwhat more nonsense will he be saying in our name if he becomes the presidentsoze guy must rest ;neutral
sindihlaso mlota azola kanti you and nantsika arent you dating 🤔 ;negative
torresjanuary4 ndithetha ngalo ncanca yakho ukba ugqibele nini ukuyifaka phayaaa kumnt’wakho 🙈🤷🏽‍♀️😂😂 ;negative
dimpho mokwala is it not exaggerated kodwa akafakanga lutho ezinqeni😭 ;negative
mashele sc nkanyii so inkinga yodwa ;neutral
guugu p soze chomam uright ko mandisi ;neutral
mariahcarey hay yey yibambe wena nantsika ;neutral
pabimono leonccd weehh inganekwane🤣🤣🤣🤣 ;neutral
xhosa35176379 kuyezwakala khehla qhubela phambili umsebenzi owenzayo ubaba uzwilezwe soze akulahlekisa nguye qha osabonakala abanye sebathwala abanye amanga abanye abemali kubi ngaphandle lapha ;negative
kuchumele i wouldnt want her near you coz iingcebiso zakho azichubekanga 🤣🤣🤣thanks brother ;neutral
lekomadlala bheki nyathi mina angisazi ngempela ukuthi ifasephi manje ngilale umoya wami ungemuhle kahle ;positive
zeema kay koda lutho umkhaba ey zama nisiphethe 🫠 ;neutral
froufroufoxes miss andisa but it is ugly haiybo mhlekazi ;positive
lithalendalo bethuna 😂😂 ;positive
prow ii hawu yazi sengihambe phambili kakhulu ;positive
left my laptop with it hes not at his desk im told hes smoking i have a meeting yho im so tired eloxesha eintlik coming to office is a waste of my time i hate it ;positive
sgadi28 ngaske ubhaqwe 🤣 ;neutral
antonyngele yhuuu yhuuuuthakatha emini🥵🙆🙆 ufuna impinda yakwa boksburg yeka lento oyenzayo mqudu we bokhwe tyini kutheni ungazi xhomi ufe wedwa qha kube into ephelayo ;negative
tevincampbelll hay kaloku tevin😂😂 ;positive
now we have loadshedding until 8 😭 hayi mina i’m going to play with other kids soze ;negative
kolie yola why must you be anonymous sana sikwazi njani kengoku thina ;neutral
thisischristill uxolo 🕊🕊🕊 ;positive
mateboho ml jonga 😉see you on the 26th february 👍 ;positive
hlengiwebila1 waqumba kangaka bakwenze nton na fondn ;negative
dones josie siguge kangaka 😂 its wild ;positive
finestzungu kade ngibuka 😂😂😂😂😂😂😂😂😂😂 ;positive
ndishushu ukufa kaloku mna stove siku 10 ;negative
which bev is best for hot weather utshwala makes everything worse😭 but i’m thirsty ;negative
lisa akh i know exactly how you feel sana uxolo imagine being the only son amongst 5 girls i sometimes wonder how would lie be if wayengazange adudemasibengamawele since sekunjalo ke😊 ;positive
bomikazi i figured uba inoba awukho or ulele let me sort something 1st i’ll be free by 2030 ;negative
penxenxe k cybersecwrld bayothuka kengoku abahlali ;neutral
prophilani ay kancane futhi ;neutral
ngicela uqale phansi ubukisise ♥️ ;positive
melanin nubiana enkosi chomam soze kalok ndikxokisele ;positive
so mbali reports the car stolen then goes commits a crime with it yhoo bethuna 😂😂😂😂 etvscandal ;positive
buhlendabambi1 tjo sbwl noba yir50 eloxesha😭😍💕 ;negative
ngim tholile angitsi nguye lona ;neutral
dstv 1magictv jonga i can’t wait rhogq ;negative
kingsfiso iyayibamba ke indlala leshandisi zimiphib1 dankie1223 ;negative
sisandasigidi jonga engcobo last week ndixinge kabini kwafuneka nditsalwe yivan😅 uxolo mtshana❤️ ;positive
misobuso malusibooi hai jonga ku geziwe vha🙆🏽‍♀️🙆🏽‍♀️🙆🏽‍♀️😭🤣vawulence ii high ;negative
penxenxe ndiyawuthanda umsebenzi wakhe 👌👌👌 protecting his peace iking 🙊😂😂😂 ;positive
itslindo cabanga nje🤣😭 3 years is too much ;negative
no work ngomso i’m gonna sleep so much 😭😭😭 ;negative
and finally to her loving family who took her into retirement lisa siseko amp sadie you gave her love and purpose in her later years and we’re so grateful to you for that many more loved her and shared life and duty with this special canine we will all miss her dearly 55 ;negative
whites i met my exblacks mengithi tlaaimbuzi ngamazaza ;neutral
andisiwe boya mpholeemalope mna ndifuna abethwe ngabahlali unomlo ;negative
luyoloqwa ndiyabulela champ luyolo ;positive
thehousekitchen episode 11 kunye afro tech mixfull episode on youtube the 13th loadshedding nationalshutdown stage8 luckystar shineon eskom skeemsaam ;negative
mokgalabegauta the solution is so simple cupha unoxhaka zikhale maykhala uphonse ethuneni and carry on with your lifengeke umenzele lutho umuntu ;negative
cyberbeats k1 inkinga were not confidently solid emuva ;neutral
motso belk29 to yourselves im one of the people who never got a voucher from motso but soze undive ndithukisa learn from me ;neutral
gugla grl uhlalaphi maybe inkinga ilapho lol ;positive
ey bethuna at least ngimuhle ;neutral
bhut tshutsha heee mzala ndidikiwe ngoku kalok ndingumfazi wasezilalini😜😜😜 ;negative
emteerecords awaz khuluma ngansuspended not benched ;neutral
bingelelam sekuntwelezansi ukhozifm62 naba msakazi thamsanqa shelembe eslahla dovu wamashabane mbandlwa enever never julie wakamagoda nhlangulela mzokhona mkhize e midillovo phika cebisa dludla eunderberg ngibonge 🙏sekuntwelezansi bingelelam ukhozi fm ;negative
uyancoma kengoku xa uzakuthi yi baddest bitch umtanabantu ;positive
ohyessratii wuwe inkinga ;neutral
favourismyname7 lontshwa2 waze wazazi izindaba zabantu ;negative
pedi hun kaizerchiefs mdaka on the left🤗 ;negative
amandablacksa khawume kancinci ukuvula amazulu sisamamele usjava ;positive
inoba sekunumzukulu ngoku 😭😭😭 ;negative
nana mouskouri demis roussos happy to be on an island in the sund ;neutral
bonga inkinga ukuthi akashelwa she cannot differentiate between being nicecordial and flirting 😪 ;negative
sechabakatutu ngicela icertified id whilst there’s still time ngoku ;neutral
zetazasakhe amo amiri inkulu kaloku🤣 ;positive
mbalis bakery intombi enhle kangaka 🥺👌 ;negative
hayi usiqhela kakubi utsho ngo koma apha khawuyotya 😏 ;negative
are there people without problems like people that have this life thing figured out no financial stressrelationshipmarriage etcplease share the secret bethuna😒 ;negative
ngifuna utshwala ☹️ ;negative
balisomlamli kuyaphileka nakuthi mhlekazi ;positive
lionlebo1 max khalanga sellosamuel14 malabulabu945 julius s malema iphi inyani kulento ayibhalile ;negative
umntwana ka tata ❤️❤️❤️❤️❤️🫶🏾🫶🏾🫶🏾🫶🏾 ;positive
anelisa tuswa 🤭🤭😂😂😂oko kaloku sasive ba what people post is only fake they dont share their hurtthey share their fake happiness khonba singena phi ;negative
hookah e monate too much 🥲 ;neutral
ole mekgwe she is so nosy undidikile shame la sisi ndivele ndingamthandi ke phofu ;negative
ayabongakekana bungesagoloze ngala panama 🤣🤣🤣🤣ndaqonda soze ngakukwazi ;neutral
sphe ngamanye amazwi uma ubusacabanga ukushela mana kancane nje ;negative
thulani mxenge ngowam bethuna makame uanathi😭😭😭 gqeberhatheempire ;negative
bangalovemore effsouthafrica ingxaki yakho kukujonga abantu ebhatyini ugqibe ngabo ;negative
sphe kumnandi kanje ukuvula ikhethini 🤣🤣sengingamane ngizale isela ;negative
brutalneutral balush7 yeyakhe nale😂😂😂andifuni uphupha kakubi ndedwa ;negative
nhleiks5 usephelelwe ixesha u boy ;negative
jiba dumisa khaliphaniiii uyazbona ba phofu wena umbi ngath ukufa kuhlala kokwenu 😁😁 ;negative
ikhona into eliyaziyo eli lady bethuna my dms are open ndingumntu o open nam ;negative
quality time njani ezaku vuka after one round ayo khangela umsimelelo lomntu gqeberhatheempire ;negative
🇿🇦 good morning ☀️sanibonani | molweni | dumelang | goeie môrehave a stunning sunday staysafe ;positive
one day i will cause drama kwipost ka bbe😭usathi nice picngith ngyambongela ubbe❤ omunye athi awsemuhle ngith thats the reason ngimthanda😏omunye esath uyalila😭ngith yin wea💁‍♂️wazotefela ubbe wam omunye afake🔥🔥 ngithi aii wena uzoshisa profile ka bbekuvele kunyiwe once ;negative
awagumede aybo awa ngobayini bo kangaka dont do that please 🙏🤣🤣🤣 ;positive
