sentence,Final_Label,predict_name
@user madume kgaitsedia motho ke bona orlando pirates e fenya gompieno ka dino di le pedi go e le nngwe ya chippa united lenaane la bona ke le le itumedisang pule hotto monare le lorch ba simolola le motshameko @montsana,negative,Setswana
@user monna batho ba ba siame,positive,Setswana
ke gopotse motse mogolo sione ga mmamabolo ,positive,Setswana
teng today ,neutral,Setswana
@user legolegwa le bolaile prison officer,negative,Setswana
kopana le moifo wa hao wa ditaba ho mantsopa fm re o tlisetsa ditaba ka kotloloho di tjhesa di le jwalo 18 00 to19 00mamela mona o natefelwe ,negative,Setswana
@user mfana o jele phoso mara number ya teng ya itse e batla e betsa ke iketlile mo koloing,negative,Setswana
ha tsena kamoso ke text a crush,negative,Setswana
@user wa rialo ntate waaka,neutral,multi
@user @user ojiwa thata,negative,Setswana
@user re ntse re bua ka tsone dio tse gompieno ,neutral,Setswana
nagana mara this happening to one yoh buhle must be helpednako eo such happens each day go thata go ba ngwanyana,negative,Setswana
@user @user @user instead of talking bogolo tsamaya tsamaya ko ntle o isitse matsogo ko morago o betsa fav hymns o lese go ndisturb,negative,Setswana
@user @user baqete ntate stop asking questions,negative,Setswana
@user ka thoma go bona motho wao rata machina go tshwana lwena ,negative,Setswana
@user @user bese wenze njani if sewuyibukile,neutral,Setswana
@user goraya gore ha ke tshwere 100 ke donatela wena o le1 hela kgang kgolo ke pusha di number e ska tloga e nna gore ke hetile jarata ya ga malebogo ke sa mo neela sepe ke bo ke ya go neela tsaone ,positive,Setswana
@user enjoy it o swa hore ha o bona work day e hela jaana o ska gope ka weekend ,positive,Setswana
@user lokisa ditokomane ntate jingles,neutral,Setswana
@user @user nnyaa ese ka lepe hela nkgonne ,positive,Setswana
@user jaanong o goelang ,neutral,Setswana
@user madume bigger remmogo jaaka gale 809dstv sorry makhosi ke gopola sefela saga mme mosela ijona jooo ke tsatsi lele botlhoko @user,negative,Setswana
@user ore kgalemetse gantsi ka bashimane please ,positive,Setswana
otlo fihla nako mang bro waka @user,negative,Setswana
re isa bolo ko bathongmarasta a modimo a nthomola pelo ebilega rena sepe gore ke direbele ronara ja ra bowarebels rasta vs ra ja ra bowaamagents ground - ledumangkick off 0900 hrsre ta kopana le enngwe ko final ka1500 hrs ,negative,Setswana
you guys started this nna ke le a pregnant retired groovist imagine my surprise one random 3am craving run ke fitlhela a bunch of drunk people parking lot pimping at wimpy ,negative,multi
osare o robala on your man s chest utlwe banyana ba pretoria ba tshega ka mo pelong ,negative,Setswana
 rona ba bangwe we not made for mjolo kgang ke gore he she can tolerate me or nah that s it ,positive,multi
@user don t otlo lwala kego utswa ,negative,Setswana
@user shapa ngwana ka voroso ntate ,neutral,Setswana
maloba oomf le ditsala tsa gagwe ba suhlile ke diilwe ke bev ,negative,Setswana
@user @user ba dirile jang ka sskb stadium,positive,Setswana
@user @user same even if ke subordinate ntate mashele wae lahla nou chicka him with respect ,negative,Setswana
@user @user customer service at mogwase bad service kore motho tshwanetse a ye rustenburg waterfall mall for better service ,negative,Setswana
@user ng ng o iposter thata malatsi a ebile happiness ya gagwe e ko top,negative,Setswana
zithande bese bekuthanda ke love yourself so you ll be loved ,positive,multi
9 arabay y l ngilterede h rs zlarharry kullan lan cal p cal al oldu ucan filmlerinde ucmaya olarak potter araba ,neutral,multi
this time yesterday shalulile was 3 minutes away from go ntsha gun ,negative,multi
@user ba tla go bakisa goooet yaanong tshwanetse motho a nne boshula,negative,Setswana
ha le sa tsenye mo daily news re mono hela kana re dire whatsapp voice notes those botsadi bo kgona go di reetse,positive,Setswana
@user ga se gore ka tshega,negative,Setswana
@user nna kana aise ke ba itse sentle ako ba fokotsege pele ah,positive,Setswana
@user lare bolao bo bontle jaana ga ke letlellwe go itheledisa ,negative,Setswana
ntlha e nngwe ke lwatswa ke lack of physical touch ,negative,Setswana
@user boipelo ke phakela and wena wa rwaka ba shimane le bone mara kgetha one ,negative,Setswana
@user tshela o geh abangani bakho beyeke gcokama phansi,negative,Setswana
@user wa tshega mmata ,neutral,Setswana
letsa hutara o bright e on and off fore ole a theole speed ,negative,Setswana
@user sol le macg ba botsa dipotso mme dikarabo ga ba di bone ,positive,Setswana
today at gym i was thinking to write an article about the relevance and revision of south african political holidays and their significance due to political changes some holidays are slowly becoming irrelevant to south africa le e bona jang ,negative,multi
@user yhooo o fet a beke o lwala,neutral,Setswana
@user eish go tla siama maan o tlile go thola authy e go ratang a go etse happy o bo lebala askies ,negative,Setswana
shoprite is starting to get expensive like spar ga ke batle go bua ka pnp chekers is also expensive bathong ,negative,multi
dj a tshameka pina ya mang ,neutral,Setswana
@user bathong le wena o simolla kgang ya spirit of woman to woman ,negative,Setswana
@user nna kana ithela ke sena bothata malatsi ano gare o swe o jele madi,negative,Setswana
@user bese bayakudelela after that ,neutral,Setswana
hela thata ,negative,Setswana
heemons slatlha matente ya betsa,neutral,Setswana
@user o tshameka ha kae kenzar ,positive,Setswana
go bata koshiek wa motswana are bolelle gore go diragala eng ka price tsa di koloi ae man this is too much 55k ,negative,Setswana
@user sure thing see you next week ntate and have fun in the mountains ,positive,multi
@user when it comes to relationships ay cha for now i am thanks yeeey dlozi will make you date someone for years and think it s the one lol yeey bese it shows you that person cheats bese it drags you by feet out of that relationship ,negative,Setswana
@user @user @user she has da tendencies rre kgosi i am gobsmacked you re defending her i thought you could spot clever-blackness from miles afar or is this only limited to the poor mashaba and his ex-bosses in the da yes she s likeable physically but aowa,negative,
@user i will check it out ga puo ele so mos it will be like i am watching bollywood movie with out subtitles,positive,multi
@user @user @user wa bo o ka tshega ,positive,Setswana
@user eish mumzo lere boledisa thata mara jesu esale morena,negative,Setswana
@user nnyaa ema pele next weekend ke moo,positive,Setswana
@user bona nka ba betsa10-0 given the chance nka ba shapa hore ,negative,Setswana
@user achee ntate ha ba tebele party ea hae ,negative,Setswana
ke lebile pl on the dstv now app pelo yame e botlhoko clock e tsamaya ha kae i want to see gore ke saletse ko morago ka how many minutes @user,negative,Setswana
gatwe re dira jang ,negative,Setswana
my ears okare ba letsa moropa in them ,negative,Setswana
@user kerr ka tshega lemina la dumedisa batho ,positive,Setswana
@user nna maabane hake bona ona le mates kare oko gae tsena hago bubbles kamoso ee ntla romela a dijo,negative,Setswana
@user @user nitava niri kwala,neutral,Setswana
@user boti pat mivula kuri munhu loko a tsandeka poso ya vu premier yavu mec uta yikota kumbe vu lava ku dyela ,neutral,Tsonga
@user o araba potso ka potso,neutral,Setswana
@user @user @user ya tshwana le jellico wa e bona,negative,Setswana
waii kae ree teng ,neutral,multi
@user ae lona la re hurda maan kore le ge re le fa benefit of doubt gwa tshwana you better pull up your socks nx ,negative,Setswana
effsa offered anc their 6 to change sa constitution and also proposed to name capetown airport winnie mandela international airport anc refused both these suggestions why because hannekom and pravin didn t agree or didn t think so bese nithi anc umbutho wabantu ,negative,multi
@user i was buying a dress maloba and the cashier asked if it s for prom prom ,negative,Setswana
@user hai ho thata weso,positive,Setswana
i really wish ntate stunna all the success in the world pls ,positive,multi
or when they braiding them at the end and you start falling asleep but you occasionally wake up aggressively because bao goga botlhoko ,negative,multi
@user @user thata thata,negative,Setswana
@user o botse thata,negative,Setswana
@user ah ah ntse gole mogote bathong ,negative,Setswana
 e omila thata ,positive,Setswana
@user o tla shala gana mowe ma2k a se tlo le tseela banna lena ganang go ithuta wot le satlo lla reg ,positive,Setswana
@user manaba ao a amapiano kea mantshi tlhokomela oska kgama ke metsi,negative,Setswana
@user re tla kopana ko court ha ele goree kgang e teng ,negative,Setswana
nope diphala gemere dikuku nama ya size 30 le bogobe ba teng ntate ole o binang ko pele ga diphala ka batjie e maswe a katetse dikuku mo dipateng malome a boka ko gate ,negative,Setswana
umunt athenge amafutha bese eziphuzela cognac kusasa phela kudlala amateam amakhul,positive,Isixhosa
@user ha le batho ba ba siameng waitse,positive,Setswana
@user a re ikhutseng bathong go botlhokwa,neutral,Setswana
@user @user araba ngwano mong wena @user,neutral,Setswana
@user @user o pala ka leina ele la gago ntsha karabo,neutral,Setswana
i used to do that and my younger brother noticed and be like kore setse re bidiwa bo baby yeiiy ,positive,multi
leruo hela ha a tsoga a re mama koo tshameka le polly bathong sala ngwanake a itse go tshameka that s all he wants to do kooteng o lala a go lora ,positive,Setswana
@user e sentse le teng kapa oa e manifest ,positive,Setswana
@user that s what i thought as well same story line as bafazi baka mseleku and the first wife being a ma cele as well ,positive,Setswana
tanki mophato di tlolagantse ,neutral,Setswana
he followed that up by snapping a bronze medal at the two oceans marathon with a time of 5h55 kgosi was not yet done as he continued to improve he improved his comrades seeding from d to c by running a blistering 4h48 at the 2022 edition of the swasap ultra marathon 52km ,negative,Setswana
@user kea thaba haeba ho joalo ntate ne ke ee nahane u ntso ipuela feela ,negative,Setswana
@user ka ati gompieno,neutral,Setswana
@user told her gore mo lotella mo ntung kamoso,neutral,Setswana
jeso ore rata rotlhe ,positive,Setswana
@user @user mme kana ke belaetse gore kgang ena ya go tsosa sekoloto same ,negative,Setswana
@user germany e go supplier ka gas le petlore kana le rona re ba jang magala ,negative,Setswana
@user @user @user @user ntate herman ke mo tsonga i always thought hore ke mopedi,neutral,Setswana
@user good morning pene issa monday let s go and try again better fail than not to try ,positive,multi
@user ao ntate we will miss i,negative,multi
eish le nna ke tshogile ,positive,Setswana
@user @user ke nna ke ipotsa why ba lema in circles ,neutral,Setswana
police have been deployed in some parts of roodepoort as angry residents took to the streets over evictions from tshedzani flats several roads have also been closed in the area jmpd spokesperson xolani fihla elaborates watch ,negative,multi
@user o kile wa se palama wena ,negative,Setswana
@user ya go tla siama ch,neutral,Setswana
@user nnyaa bua kabe o sa comment ka let me tool kabe o tool lile klaar,neutral,Setswana
@user gatwe re e pushetsa jang ko pele ,negative,Setswana
o very yummy ntate khoza guys ,positive,multi
@user waitse gre ke e rata jang ,negative,Setswana
should i have coffee or coffee nah i will have coffee don t let the sky fool you se a betsa ,negative,Setswana
@user @user o bolailwe hela ke go tlhoka jordan ,negative,Setswana
@user @user ware mogolo o irile jang ,negative,Setswana
ke eleditse a phone call hela e serious the one that makes you blush smile laugh o kreya o sa itse gore o eme ka maoto or o nne fatshe and no not from a woman from a man hela o kodu ya bo barry white ,positive,Setswana
@user ba eleng manaba a gago ge ba e bona mehlolo e diega go wena ba lwala ,negative,Setswana
@user ausi weee ke dilo ts mahatshe a kgakala ,neutral,Setswana
@user heta jaana,neutral,Setswana
@user o tsogile sentle mogatsaka ,neutral,Setswana
@user national anthem e bula a bo e rslwa btv le r1 that s 4 times in a day on radio there s games letsile got gold maloba go ne ga opelwa national anthem he vp mps kgotla meetings it easily gets to those nunbers,negative,Setswana
@user bopha khomreyidi bopha ,positive,Setswana
@user he banna kea hopola nkila teana le wena u na le ntate ke u thabetse oa nsheba feela athe u no nkoatetse ho se tsebe ke lefu la khoho ,negative,Setswana
@user tshwanetse o mpinele siyabonga gobela,neutral,Setswana
@user @user aaiy malume o re bolaile spice it up ka video clip assomblief ,positive,Setswana
@user nnyaa mme kea thaloganya a necessary evil at the time ,negative,Setswana
@user pres rra ga re itse ko a leng teng vp ene o ile drc,negative,Setswana
maloba ke bone nonofho molefhi a itsamaela ka matshelonyana ha cbd such a humble man ,positive,Setswana
@user hermes tlebe a ntsha ke di ninja tse 5 that day o ganella kamo ntlung the day they face nomination gokasebe monate,positive,Setswana
@user o senya puo ekare you re not a writer ,negative,Setswana
@user phoso ya ntlha,neutral,Setswana
@user bonolo esale baie vroeg for machila a hao weitsi ,negative,multi
@user ga o nthumula ke ntsha di file ,positive,Setswana
@user mara lena ka gore le basadi baka lefa nna lego re nwesha aba re nwesha,negative,Setswana
@user at this point abavele bayeke kwale the wife bakithi ,neutral,multi
@user dumela ntate ,positive,Setswana
@user ee re teng ,positive,Setswana
@user @user motseleng kere ko kopana lwena mos ,positive,Setswana
even if la jewa go siame ,neutral,Setswana
@user you just confirmed my suspicions cos le maloba nyana ba na le saam but i got distracted when i was connecting the dots,negative,multi
@user o nap a jang o ntse o le fa ,positive,Setswana
@user re lokela ho fumana mokhoa oa ho hlaolela manyalo hoba hangata li fihla ho akhente e le late,negative,Setswana
@user @user @user but nochubeka ngente ngendlela bengente ngayo nakuye umlangeni noma ngiyo nayo leleyenta kutsi bese songenta lentfo yabo angati,positive,Siswati
@user kamo phefo eno mela out of the green,neutral,Setswana
@user nna sala ke buile gre go tshela wena ,positive,Setswana
le go tshega go a pala ,positive,Setswana
@user waa simolola,neutral,Setswana
muthu ano thoma u vhudzisa uri condom i gai ndi ene ono lwala rine ro dowela tserere,negative,Tshivenda
@user mame o botlhokwa on my timeline ,neutral,Setswana
@user bathong malome ga a itse go buiwa ka ene ka sekgoa in another group ,positive,Setswana
bro why is kim being so mean to me phakela jaana ,neutral,multi
@user nyaa wa tsena hela sentle waitse ,negative,Setswana
motho ago letse phakela are nne oreng bosigo kante lona ganke le tagiwa ,neutral,Setswana
@user some of ba group 4 setse re tlhaga reduction ya this morning so please don t phinda us,negative,Setswana
aa mme motho ene o tshwantse go nna le bo more than 5 years asa lle like cry cry nna gompieno ekare nka thunya ka sello mann ae fok re imetswe ,negative,Setswana
@user goriana kile wa e tshameka ,positive,Setswana
kgang e ya fave ee mo zanting ga e nchwa mo tlng,negative,Setswana
@user ke kwadile another response ke rialo ba tetse mosi wa dikgong bao,negative,Setswana
@user maybe ketla topa topanyana something ko teng ,neutral,Setswana
@user @user bese ahamba ngani ,positive,multi
@user re ta bua jang le batho lere poster ,positive,Setswana
we didn t get eat the pizza maloba so today we feast greasy pizza triple extra cheese,negative,Setswana
@user @user @user ausi lieketseng tjhehe o manganga ausi waka mare hee o kgona ho tshehetsa ntlha kemo ya hao ,negative,Setswana
@user king simakade the throne suits him not sekebekwa sela se segolo setlogolo sa ko swatseng ba reng ke prince misuzulu,positive,Setswana
@user @user nna tota i have a weak heart tota training tsame ke bo yoga and pilates hela jaana,positive,Setswana
@user e botlhoko ,positive,Setswana
@user e alole ga ise e tsamaele kgakala,negative,Setswana
@user @user le monko gives me a headache ke ipotsa ba ba e nwang bone,negative,Setswana
yaba le nthonkga pelo ka hopola modi ntate empa hare thakgoweng @user @user @user @user,neutral,Setswana
farming herbs is not as easy as it seems im going through a lot di ntira jang di seedling ,negative,multi
@user @user mamkhize singathokoza kakhulu uma ungqongqoshe wezokuthutha mayengafakela namahasi lapha enquthu bese esifakela nespeed limit kulomgwaqo osuka enquthu edolobheni uyofika ebabanango uyabheda kakhulu ,negative,Isizulu
why is ona mad a out ntate zwide cos he just discovered the truth like everybody else ,negative,multi
@user @user @user @user @user @user madume ntate waka it will be a back-breaking match for ts galaxy i saw how mamelodi sundowns played against cape town city they re carrying conviction their collaboration is first-class and i think highly of their techn,negative,
@user bao ba fihla bo mohammed lebo matenas wadiyobis ,negative,Setswana
@user @user @user ke twitter papa teng ,neutral,Setswana
@user @user @user okay geh ke le illuminati o kopana le beyonce masigo ,negative,Setswana
@user phakela izinjaaa maan ,neutral,Setswana
@user nka tshega gore ,neutral,Setswana
@user ke ka thoka jang go go gopala o le koo ke le kwano,neutral,Setswana
@user we had same ka bo 6 kwa ke gona o jang ,positive,Setswana
@user sorry foo rraetsho araba phone ,negative,Setswana
i m glad ba ntsha buhle if that s the case ,positive,Setswana
@user khuphuka lapho nkabi kulaba sakhile mahaye ntu 4269 masthole e 1 udayisa ukudla mamkhize e 1 udayisa ukudla erenkbese ngicela bapathi bemboni enquthu musani ukusovimba makade kungamaholidi pls asikutha ndi @user,negative,Isixhosa
a ijelwa botlhoko yaana mxm ,neutral,Setswana
ntate o mong ai bambisa rona at kapitos the embarrassment to cut the story short we asked the owner to remove him from our table mhlang ana welletsa 18 emoyyeni i lost it,negative,Setswana
ba bonwa ko bobirwa tswang hela mo banneng ba ba sa toleleng dibete ka kwaa segolo yang ba mochudi ,positive,Setswana
@user ka rialo wa rra ,positive,Setswana
@user gore ke mang gase kgang,positive,Setswana
@user tshele kgosi tlogela tshele please ,positive,Setswana
this man better not pull a kealeboga gift mogapi on us ,negative,Setswana
@user akunasmanga khona yikho nje kuthi udame ungena kwiacc yakhe uzibuke uhleke bese uyaphuma ,negative,Isixhosa
@user hahahaha i understand ka10 ke betsa the second skafthini,neutral,Setswana
nna a ke nyake go bolela maaka @user is a fave o tla tshega everyday whilst working with this one ,negative,Setswana
why do dads always have skewed solutions to problems mara we have a 20 something yr old dish washer which seems to be bought for ambiance i say to my dad papa weitsi nna sesepa sa dikotlele seng keja matsogo does he not say o etswa ke gore o tshela sesepa se se ntsi ,negative,Setswana
@user botoka my guy hell i sometimes want their chionship games bo blackburn and the likes @user is too expensive for such ,positive,multi
@user nnang ,neutral,Setswana
@user phangi phangi @user re shebile ka pelo tse bohloko 4nil e thata,negative,Setswana
@user ke lebile hela jaana,neutral,Setswana
@user @user offset many times over by a massive gain for ret in both kzn and nw this past week threatening the thuma mina way of life ,negative,multi
 le mo nositseng phakela ,negative,Setswana
uking ufuna usindy dlathu zim ufuna oprah bese iyagqilaza lento nomfundo ufuna uboiti utrecy ufunwa ngusphongo @user @user @user,positive,Isixhosa
@user ah patel e teng mos ,negative,Setswana
@user nnyaa rra ne ke se mo go tsa homophobia nna ne ke ipuela hela kerr if certain dispensations are targeting the affluent then those of us who are not rich shall eat crumbs unless of course i don t understand what affluent means but i thought it means ,negative,
@user a gobe bjalo ntate kwena morena ke kgoshi,neutral,Setswana
@user ke ene a jang marapo a nama ,neutral,Setswana
@user vele apparently her then varsity best friend was doing all her assignments and ubaba wakhe bese powerful ,positive,multi
@user pls o ta palama plane ka dipoto ,neutral,Setswana
congratulations to boitumelo lefa on passing your re5 examination beautiful work what we love to see re5 ,positive,multi
@user yoh ke lapile ke go araba,negative,Setswana
@user ke a go rata tsala autlwa sa mpuise thata,negative,Setswana
@user yerr wena ophela o bitter towards eff keng bao timile poso naa yerrr,negative,Setswana
@user ditapole ,neutral,Setswana
politicians especially african politicians they usually wait for such times to try buy us using our poverty status to rile us in this is how rich politicians stay in power opposition or rulling go reka hlopo ntsha party loyalty this strategies di re busetsa ko morago,negative,multi
@user @user he will succeed in the long run given a chance don t forget that pitso mosimane s tenure at mamelodi sundowns started with the issuing of hands by sundowns fans why do you make it sound like pitso s tenure started off like a house on fire ,negative,
@user kile ra bereka botlhoko it s honestly better this side ,positive,Setswana
@user ee go tlhokomela mmele zwii group work we need to pass,neutral,Setswana
@user go lebega ese selo sese siameng re tla swa kana,neutral,Setswana
@user @user @user waste of court resources @user mathata afa,negative,Setswana
@user re tswa kgakala,neutral,Setswana
@user o di puo,neutral,Setswana
@user rights without responsibility is recipe for disaster hantle na ke leboha hore moetlo e ntse le ntho e teng ha moshoeshoe le haese ka thata-sejoale-joale ehlile se kotsi haholo hona ke thuto ho ba bohlale ho tsitlalla moetlong oa bona ,negative,
@user @user sale gotwe system e offline maabane phakela le jaana,negative,Setswana
