tweets,labels,predict_name,Unnamed: 3
@user @user basadi ba fedile,neutral,Sepedi,
@user tla re nyale ke tla go ntshetsa magadi,neutral,Sepedi,
@user wena hao palame koloi ya eliyah,positive,multi,
@user wena ke go bodite gore bothata ke eng ke mnate too much,negative,multi,
@user  o rata pefo,positive,Sepedi,
@user ere ke e tlogele yong,negative,Sepedi,
@userwe miss mandelamanela vunanaga byakahle jamba tsena,negative,Sepedi,
@user plus no lerato kganyagonis taken kubi,neutral,multi,
@user ba ree mma le go tsamaa fa godimo ga metsi one oka tsamaa osa nwele,positive,multi,
@user@user @user wena o tla bona bo tving,negative,multi,
@user @user dilo stofo g poiwena kada le di flying flying,neutral,multi,
@user @user nele mathata ke size ya next game,positive,Sepedi,
@user @user akerr wakwa jwalo kgotso yona ga lena yona shem,neutral,multi,
rona renwa fela reitawele tsa gore re matlakala redutlwa ka lona mafielo,positive,Sepedi,
@user la rata ho bolela maka on these public platforms neh,positive,Sepedi,
@user hahahaga jwale kamora 4 months ke tsebe holo lata text yaka,negative,Sepedi,
@user mathata etsile at a wrong time,negative,Sepedi,
@user i feel sorry for the thousands who died of covid you grew up with medical aid and going to pharmacies you still use western medicine and pharmacies today and yet here you are spewing bile about western medicine idiocy knows no,negative,Sepedi,
@user o rata ditaba yeses,negative,Sepedi,
@user@user @user loko niva nyanga ni tala ntsako,negative,Sepedi,
@user @user gape majita ba memorizer number of aka bolela out loud next thing ke bo eita babes sbu from phakela ke ntse ya morago ga driver yeah wa tie e scotch,positive,Sepedi,
@user @user mahlako o botsana,negative,Sepedi,
@user i hope you saw the video,positive,multi,
@user she has a problem with thatos outfit once again,positive,multi,
@user mpho said she can not wait to spoil you with that 2m,negative,multi,
@user thats a tsotsi not a doctor live jive,positive,Sepedi,
@user @user witseng lol moetapele hesal,positive,Sepedi,
dijo tsa ko the rock aowa they need to respect us,positive,Sepedi,
@user wena motho o go loileng wa itshola weitse,positive,Sepedi,
@user @user im starting to think gore i am the problem,positive,Sepedi,
@user bathong batho ba me,positive,multi,
@user @user gape o ntsha di file,negative,Sepedi,
@user ao aowa beke e le one e ntsike phakella hela ko barloha ke tswa kwa ke tlhamalla bjwaleng kea go ipswina ko sportscenefrom there ke ya go senya ko clubong,positive,Sepedi,
ke busy sending emails forgetting to attach files nna ke lapile,positive,Sepedi,
@user @user bathong wena moloi do i look white to you,positive,multi,
@user o ntha o reng mara,negative,multi,
@user nna ke tla nama ke lesitse pele ka go ratana ka gore gaayo tshelete mme ha ke nnang nao teng ke tla tswella ntse ke le batchelor,positive,Sepedi,
@user wa ba itsi a ke re especially ba le ba galeshewe ba itemile go mashwe mara motho wa one ke modise mara o tla o direla makgakga a manga re ek praat nie tjwana nie o mmotse o re wat praat jy a re net afrikaans haai,positive,Sepedi,
lona le tla re bolaya weitsichew,negative,Sepedi,
nagana o re im from bushbuckridge,positive,Sepedi,
@user really hope csc is the next 100,positive,multi,
swaziland goba bare ke eswatini,negative,multi,
@user lakwa jwalo theory txa batho ba go tshaba basadi,positive,Sepedi,
ska nyatsa ba bangwe poi,negative,Sepedi,
batho ba wa i get it life e bokete mma yone but nnhle thm o wele mo go bohloko the way that hun is pretty ng ng go utusa bohloko ke gone gore ne a se humble,neutral,Sepedi,
@user @user dont take him serious chomi o tagilwe,negative,Sepedi,
@usero monate kgale re sa bue,neutral,Sepedi,
@user @user phela mine ngikule panel yaka education bomatsenjwa nabo mbuyazwe,negative,multi,
themba catching smoke maka thule ughost please,negative,Sepedi,
thato is such a vibe,positive,multi,
@user i dont show the other gender gore im all in aka mphaphela,negative,multi,
@user nna hako batle ka pelo yaka kaofela le ka shopong ke dula ke hopotswa,negative,multi,
@user @user dilo diaowantsitseim not the same mmapula you knew 15 years ago,negative,Sepedi,
@user comrade butle hleenter o tlogele tshele,positive,multi,
@user nkabe ba rekile dikhote,negative,Sepedi,
@user i feel so emba papa ssed to replypeople out here need essential things nna ke batla man monna yohh haa been single for decadesi cant help it,negative,Sepedi,
@user an dia tura tlebe tsa fela,negative,Sepedi,
@user this is catfish aowa,positive,multi,
@user hehe the only time you change a dp ke he o nyaka ho charma motho ebile this time e serious bc you got a fresh haircut and all that i hope you win,negative,Sepedi,
@user helang bathong kante you know me,negative,multi,
icebolethu is hiring interested applicants must submit to iceborecruitment@icebolethucoza closing date 29 march 2022 good luck,negative,Sepedi,
@userphela i need to know this kind of things yeses,positive,multi,
@user ke ka thomo ya moya ga se ka bohlale bjaka ga o retwe lebitso la gagwe the creator of heaven and earth ga ebe kgotso,positive,Sepedi,
ke mo clinic i just realized gore tshelete a combi go boela lapeng a shorta tlang le ntseyeng,negative,Sepedi,
@user tsek clement namane ya ka ya shwa,negative,Sepedi,
@user okare wa lebala gore ana lego nna skaars,neutral,Sepedi,
@user @user aowa banna mahlapa a ma kaakaa moagisane yena o tsena kae,negative,Sepedi,
@user ho lokile abuti re tla bona,negative,Sepedi,
basadi ba tlo re bolaya shame,positive,multi,
@user o suggesta masepa otla bolaisa batho ka pelo,negative,Sepedi,
ha ke batle bana but py is life,negative,Sepedi,
@user e le gore naa phosha charma gal,positive,Sepedi,
@user  really hope they dont let us down like they been doing for a few years now buy in this era of sa cricket they capable of messing up good position they find themselves in it all about breaking boundaries,positive,multi,
@user sebe se se tona,positive,Sepedi,
@user how are you doing tshepo,positive,Sepedi,
yikes fam as of go jewa isnt enough ba mo nwela dilo,negative,multi,
retla seba jwang le joina,negative,multi,
@user gona le motho o tlang go utlwa monate,positive,multi,
gannyane gannyane the eff is revealing whom they are,negative,Sepedi,
@user o monte gore love,positive,multi,
@user @user banyana ba maitiso ba bolawa ke tlalamotho a ka hetsa braai pack ka motsotso,negative,Sepedi,
@user tsa maitereko feela hle,positive,Sepedi,
@user i hope that other lady doesnt see this,positive,multi,
i thought someone had broken a record of thembisa 10 when i saw mother of 12may her soul rest in peace,positive,multi,
@user rona ha re robetse masigo lenna le dirang,positive,multi,
@user ya woolies ka e ja mpho,neutral,Sepedi,
@user ha ke tichere ea hae nna motho enoa ntate,negative,Sepedi,
@user what does that have to do with him this one is just bitter that thato rejected him sies,negative,Sepedi,
aowa monna ke gana dituelo tsa diego o duelelwa gone go defend for 90 mins added mins,positive,Sepedi,
@user waka wa senepe sa lebotong,positive,Sepedi,
yoh jaivane ke mo tshepile yana,negative,Sepedi,
@user  ah kgane why dont they save nama for marriage,positive,multi,
im even wondering how messy itll be when naledi his love shows up,positive,Sepedi,
mpho is now the only girl amongst gents aowa go tlo winner yena vele lae bona taba,negative,multi,
@user @user nna ke rumile mothokea thoma eskhale,negative,multi,
@user mara mma stand dont ever wa dumela go ba sekobo de potse gore wena omasebotsana geh ole on mirror,negative,Sepedi,
@user hloka pelaelo mo gopolong wa gago take it easy weshu,positive,Sepedi,
@userits hard shame and people think youre acting coz they can put pantyliners or those thin pads bona during their period and they dont feel a thingfor me ehh,negative,multi,
nale naledi mogadime nale the trendsetternale the trendsetter,negative,Sepedi,
@user st louis corona black label tse dingwe o di tlogellang kana ga re tsena ka di robot tsa phaks ke ga oo itsheka dikeledi,negative,multi,
kore motho o pallwa le ko kreya gig nyana yao acta mo i blew it bathong ke lakatsa goba bale bao jiava jiava ko background lenna,negative,multi,
@user nna re dumile maota le bogobe ba makakoka stew mara bjale ga a gona mo dbn,positive,multi,
kgang ya gore ke robala ke le one 365365 days setse e shimisa,negative,Sepedi,
@user ehlile ha ke batle ho bona,negative,Sepedi,
there goes bo baby ba rona,negative,Sepedi,
@user this meme though the next season needs to be better aowa,negative,Sepedi,
@user ke thabile gore hlena,positive,Sepedi,
bo mang re fetwa ke ditaba mos,neutral,Sepedi,
i had such a bad day today le ditaba tsa batho adi nkgahle,positive,Sepedi,
@user bakgalagari re tshelela bojalwa,positive,multi,
@user o tla tenega le service ya bona,positive,multi,
they do ga ba itse ba nyontsha yang,negative,Sepedi,
@user leave my club broonoba lerete la mokgalabje,negative,Sepedi,
@user le thomile gape lena di ingenious plants,negative,Sepedi,
bathong ne ke robete lere ba nyobile mang,negative,multi,
@user ncooh thats sweet ke thabela go kwa gore le lena le hlwele gabotse wesho,negative,Sepedi,
monna o ha e sale a re hes gonna take a nap and then come thru it was at 100,negative,Sepedi,
@user ke love mara e jwalo yoh haibe ke yona kai leboha no ways,neutral,Sepedi,
proudly moving lerato and family have you booked your ride yet look no further we are here for youtsheletesha shuttle services and tours 083332164 or info@tsheleteshasstcoza,negative,multi,
the more i think about pregnancy the more it dawn on me gore it might not be for me,negative,multi,
@user they went into the market and came back nabo majok,positive,Sepedi,
@user lofa gapeagona yoo o tshwereng registera today for nna,negative,Sepedi,
@user go bata motho yo ranolang ditoro cause wow,negative,multi,
@user hmm interesting kannete motswala,positive,multi,
@user i would tell friend to dive in head 1st just the fact that le 2000 is comfortable and interested then it means he knows what hes getting himself into and that hes ready to handle dipitsa tse kgolo jolang fela,negative,Sepedi,
thato is telling de truth hly ha fihla o ne a sena self confidence bt today wow she knows her worth,negative,multi,
@user wena you must just date bo jehovas witnesses watseba or baruti once,negative,Sepedi,
ba go reng tota @user,positive,Sepedi,
@user should have been naledi kwi @user,negative,multi,
@user ga se gore ba supa how to get the job,negative,Sepedi,
@user @user yah nehvel tlabe ete ke lebete dilo  ka moka  ebile kere mmago bana,negative,Sepedi,
@user o dira baby hair,positive,Sepedi,
@user @user a jewe ke lefatshe next a tshabe go go buisa fa a go bona,positive,Sepedi,
have a blessed day tshepo,neutral,Sepedi,
kopa kerese tsa gago broer kea bona dia bereka,positive,multi,
@user @user oh no hope mick is alright,positive,Sepedi,
maabane neba betha cassper ake happy strruu,positive,multi,
@user enoa o hloka lesoai,positive,multi,
@user nkabe o ntso nrobile pelo because you wouldnt have known better,positive,multi,
@user @user straight forward @user faki i date phela,positive,multi,
@user haha ke a leboga,positive,Sepedi,
no one annoyed me like madala aka ntate maputla this season,positive,multi,
@user @user for ting mogodu and skopo @user romela location ke phuma silwe,positive,Sepedi,
@user@user @user a rich stupid guy who can afford to buy his woman a range than lobola her on top suck that lucifer,negative,multi,
@userbothata tokafalo ya moruo wa naga e ikaegile ka dilo dile dintsi a puso e dire go tlala seatla go baakanya naga yarona ene gape nna nka rata go bona tlhwatlha ya petrol le fish oil e fokodiwa,negative,Sepedi,
die boy sa a sa mpolaya so haowa,positive,Sepedi,
hawuu kanti keng ha e sa nke 30 min everyday e nka 34 minutesaowa change your time slot guys,positive,Sepedi,
@useroh we thought siyalwa angithi phela we are the viewers and have to be in a position to rate the show its a pity i cant write off the entire show because of an individual,negative,Sepedi,
ha nkare o rwele croissant yana,neutral,Sepedi,
@user askies but re iketsa ntho tse bohloko gore sometimes,negative,multi,
@user @user kea go mo dirisa ha ke nyalwa nna ha marokgwe a thubega o tlaa roka waitse,negative,Sepedi,
@user lena le tlo lwa le dilayqueen straight bcos le a di phala ka natural skin natural beauty and normal clothes,negative,Sepedi,
@user i love you thula,negative,Sepedi,
@user you acted on rumour nhlanhla says there is an active case ntate victor is out on bail but saps knows nothing,positive,multi,
@user ee batsadi ke utule ne ese ka tsela epe hela,neutral,multi,
ha ke akanya gore payday ke kamosobo ke akanya gore monday ta bo gore ke emele di 27 wa aprilke utwa ke betswa ke sethabi,positive,Sepedi,
@user wena okwa tlala ya res,negative,multi,
nna ke bone ke ya uni 15 gore no that is a joke a pure joke but i was told this will create employment mara that no guyss,positive,Sepedi,
@user ke bona yalo lol,positive,multi,
@user badimo ba geu leka serethe ba ragela bao lol,positive,Sepedi,
bathong lere hetisa di opportunity ke di camera quality tsa lona gagona ya pr and communications foo,negative,multi,
@user  cctv have done the job yena wenzani uybhekisela phansi,positive,multi,
@user @user bana ba bomma she will kill you you know them moss,negative,Sepedi,
@user are slade sa gona se robetxeo mpolaile,positive,Sepedi,
@user bjale ka gore nna kenwa ka di special occasion,positive,Sepedi,
@user looking very good andy hope you have a wonderful weekend with your babies,negative,multi,
@user batho ba nale go dira dilo ebe ba blamer bojalwa their hidden characters come to light ha ba nole,positive,Sepedi,
how cruel does one have to be gore o tsamele motho wa pleke e odula ko go yona rent free di ngaka seeh ya motho neh,positive,multi,
@user @user o ipolaya yang o siya bana ba 6,positive,multi,
dikolo di tswetswe re reetsa radio pawp @user @user,positive,multi,
@user ka nnete thats nice,positive,Sepedi,
@user good night o robale botse,positive,multi,
@user happy birthday sesi pheladi many more 200 blessed years to you lerato katlego kgotso happiness and money money e be ta gago goya goile,positive,multi,
@user a o na le moraka,negative,Sepedi,
@user tlala e kotsiba ba tshepisitse mosebetsi maponya mall,positive,Sepedi,
yoo top 10 ya today ne that adeva song banna @user,neutral,multi,
@user its a question bathong wena i voted for sis t even,negative,multi,
@user o fo kae motho waka,negative,Sepedi,
mom lesegomy nephew o tloya di heleng youre gonna go to hellesego uzongikhapha gogo me dead,negative,Sepedi,
@user hahaha ke rile ke a lebella mo netflix haai yela e no ba megofe fela nothing interestingefela akere batho ga ba kgahlwe ke dilo ta go swana,negative,multi,
revelations kiernan faith nketsi nicki minaj slick talk range rover ace magashule longwe senzo dj smeg eskom lobola,positive,Sepedi,
modimo nthue ke kgaogane le dipate,negative,multi,
@user youre not breaking any fast ka molata youre just straining your digestive system gape e sare ke a itheeleta wena o e bolaia makaku,positive,Sepedi,
not really fighting ba tshela ngwana o mongwe ka di salad ba re shes not even wiping her ass right,positive,Sepedi,
@user hao nyewe ba qadile motho o wrong,positive,Sepedi,
@user @user uzobe ezofunani yena la,positive,Sepedi,
@user we are ready for lobola negotiations ka nnete hare batla mathata,negative,Sepedi,
@user nna ke lapile waitse,positive,Sepedi,
cant wait for recess im so exhausted i cant do this anymore aowa,negative,Sepedi,
gareth bale is gunna take us to qatar,neutral,Sepedi,
@user that hope of knowing that theres no player behind your financial reach is one of the best ever and now its gone,positive,multi,
@user yeses yoh maaka maake fela,negative,Sepedi,
@user yuuh ga ke batle go nagana le taxi,negative,multi,
@user ska lebala gore one o nole seno sa barena which made u c wat u wanted to c,positive,Sepedi,
@user ooh ok as long as lesa tlo enwa gape a ke nyake go phela kago nwa diloaowa tlof tlof ke dilo tsaka akere ke nyaka gona,positive,multi,
@user nna sa ntlama hle hakeso o bone ka moo,positive,Sepedi,
bathong i passed them kele kamo taxing mo mphalane,negative,Sepedi,
@user poleiti pele sir otherwise ke ja uena,positive,Sepedi,
a lot happened on this dayke gopola re eya graskop re sa kgone go drivero mongwe a impregnate girlfriend ya gagwe nna ra boa baecation di relationship tsa rena tsa fela kamoka,negative,multi,
shes so hot bathong yoh,negative,multi,
@user lona le banka kae batho ba joalo,negative,multi,
@user ill take your word for it cant be arguing nkare ka be le teng le nna,positive,Sepedi,
@user john cina johnny johnny ke rwa yena sho majhozi ka sebele,negative,Sepedi,
@user no ma chiefs ana atla ba strong skysucces ya sundowns etla ba bolaya,negative,multi,
@user @user banna what kind of msunery is that,positive,Sepedi,
@user aowa during an entire democracy there was no form 5,negative,Sepedi,
@user lona lithini eli kula likuthatha serious,neutral,Sepedi,
@user ke bo mang difebe,positive,multi,
@user @user soze lona yena,positive,multi,
sebohodi se sere nyauza ke mang,negative,multi,
@user broo ke bona season e ncha e dieha blind,negative,Sepedi,
@user slick talk ingathi ucujwe amatanyula indlela a thetha ngayo,positive,Sepedi,
@user dr petunia malahlela pretoria,negative,Sepedi,
ka lenyalo laka le tleng e sale fruu ke nyaka go le thoma ka di cornflakes le muesli,negative,Sepedi,
more reason to leave no matter how head it is bona nou ngwanyana has been restored,positive,multi,
@user@user nhlanhla lux gives malema the respect he doesnt respectwhy does lux endear himself to juliusi mean malema calls him a thug but lux doesnt retaliate instead he talks of giving malema,negative,multi,
mseleku is going to address taba ya di tights with thobile,positive,Sepedi,
@user @user monna o tshwere vision,negative,Sepedi,
yoh bathong ke feditse my hearts so sad what am i goi g to watch now,negative,multi,
ba ba yang jwaneseberg bolelang hoo nna i need a breather,negative,multi,
@user daai gender e swele,neutral,Sepedi,
@user le a mpolaya sesi oh how i love you,positive,Sepedi,
kante di bowa ko which space emang pele,negative,Sepedi,
@user aowa oo wa tswafa,positive,Sepedi,
@user anaroko lebo ngwanabo tona mkhaya,neutral,multi,
@user mkp a re re dire sundowns bafana bafana bafana bafanachiefs and pirates has became ordinary teams e ka re they are fromcant even imagine a place to classify them underka gore le team ya ko diplasing e ka ba ja botlhokonaga,positive,Sepedi,
@user so le objective ya dotd ya pala,positive,multi,
@user @user lerato whose the owner gee,negative,multi,
everytime i get to sit outside the house pelo yame e gamutlhela ka botlhoko ke reeditse mekgau ee bogola koo dijarateng tsee dingwe my late dog would just bark once abo go sisibala,negative,Sepedi,
@user is about time we as fans organise another march iyoo aowa re ka se kgone,neutral,Sepedi,
@user hale mpotsa tshepo yaka e reng nakweo,positive,Sepedi,
@user @user this phone had bo ma 10mb without a memory cars but motho be a ka tsentsa 34 songsbrandy mr pianomanchris brown ft jordan sparks no airkeyshia cole heavenly sent good old days,positive,Sepedi,
wanna share an inside joke mara le tlo kwata coz lona le nka dilo serious,negative,multi,
aowa guys re busy ka mathata a bophelo lona le busy le ke dirile bo oscar mathata a lona haibo,positive,Sepedi,
@user go fisha thata hlena yoo,negative,Sepedi,
ke jola monate kore we are cruising nicely,negative,Sepedi,
@user nthwe chiefs e retsang yona,positive,Sepedi,
@user aowa gape they were doing well the whole season not fucking up our sleeping patternstoday they are pulling a bbn on us,negative,Sepedi,
@user  mo tlogele ke tla mo sharakantsha dinoka tse ka patla nna,positive,Sepedi,
@user mme kana go suffer rona at the end of the day,negative,Sepedi,
@user @user and you realize how far fetched that solution is solanka ntse re emetse mocha atla ipehela likhetho ha nne re kenye ntate matekane litulong,positive,Sepedi,
dilo di chanchitse ka nnete,negative,Sepedi,
@user @user mara weather ye ase ya mcdonalds e nyaka magobe a ko ga mampho ka tns order,positive,Sepedi,
@user have you attended therapy yet for bothata bole if not oska tla,positive,Sepedi,
assim no brasil estΓö£├║o a pensar que o kota mc mentiu esse tempo todo sobre moΓö£┬║ambique que vida pah,neutral,Sepedi,
@user @user gape mapona agona gore okawa lebela wase skomore,negative,multi,
@user keng o right mmata bolela le nna,positive,multi,
thato getting evicted when i want her to stay stings a bit,negative,multi,
bothata a se coach the sooner they realize that the better,positive,Sepedi,
stress se batla shower nagana o lla o emetse kettle gore e bele,positive,Sepedi,
@user ejo ari tlo juta ke bana ba so,neutral,multi,
ba tsenya eng mo black label re tla swa,neutral,Sepedi,
o namele taxi o dule fatse sharp few minutes later ke se sdudla bare shiftela ma oledi cz akase lekane ko backseat that time sdudla seo ase ma oledi ke le 98,neutral,Sepedi,
@user @user bathong le mo dirang malome pipinyana,negative,Sepedi,
@user batho ba brave kana,negative,Sepedi,
come at me left o tla bona bare motho gana tshwarelo bara nna,negative,Sepedi,
la mo reng ne bathong,neutral,multi,
@user yohh o mbora gore,negative,multi,
@user batho ba nwela mathata,positive,Sepedi,
@user he banna will smith was this not scripted though,neutral,Sepedi,
ah no ke ipinetse maabane shem,positive,Sepedi,
@user ke ha o ka taboga gompieno bc di a hela nou jaana,positive,multi,
@user thata and le bona ba rata gore botsa tsona,positive,Sepedi,
after he prays for us nna ke hona ke tlang ke rapella yena ntate modimo watseba ke mo kopela hofeta ha ke ikopela,negative,multi,
@user  ha hona ntho e nlahlisang tshepo joalo ka ha party e hlaha ebile e lebelletse tshehetso ea rona e etelletsoe pele ke motho e re mothabelang to lead ebe etla e hohotse bo nthomeng majara tlohang sekhamane koore yu w,negative,Sepedi,
@user @user okay jimmy kodwa phela nama products wenatural hair ayabiza,negative,multi,
@user a very happy birthday to malome wa batho modimo a go dire ka botho mohlalerwa product ya setotolwane,positive,Sepedi,
