sentence,Final_labels,predict_name
@user mamoagi kgang tsago ikutswa be le sa dirisi mesomelwana bana ba nna teng ebe le nna confused lesa itse ke ba bo mang,negative,Sesotho
@user ka nete u fumane joale u se u loantΓö£┬╗Γö¼Γò£a hore u na le bothata and you exposed yourself ka ho joetsa motho and now you regret why you did thatu khutlela teteete le haeba u ne u se u folile,negative,Sesotho
@user o tsimela mini foini toda thuso please,positive,Sesotho
welelesa le ka kganya donor bona now ke tlaleng bjwang,positive,Sesotho
so maseru is dead tonight hantle where are you guys,negative,Sesotho
thebanna batswapong gase batho le go buela kotlase this nikkas next door ba busy ba tlotla in their room and re a ba utwa mme kele in my own room mo lapeng,positive,Sesotho
@user ba ti kira betere,negative,Sesotho
@user o motle kanneteΓö£┬╗Γö¼Γò£itΓö£┬╗Γö¼Γò£s giving iΓö£┬╗Γö¼Γò£m free,positive,Sesotho
@user mpho weΓö£┬╗Γö¼Γò£re staying inside today so you can seen hantle,positive,Sesotho
@user malome malome malome weeeeeh tlogelang go bolela ka rena,positive,Sesotho
@user ba rena o hlobola ge a robala fela goba le robalana,negative,Sesotho
@user ee ha gole maswe go bata koloi e nngwe e bereka go thula tsa competition,positive,Sesotho
nka nwa jik madubula le tsena tsohle tse etsang foetus deletus,negative,Sesotho
@user bapedi e tswang ka moweee tuu,negative,Sesotho
@user @user ebe ha sa molumele a sebetse joang,negative,Sesotho
@user jacket eno e kholo haholo ehlile ha se ya motho a khutlelang hae,negative,Sesotho
@user empa ke utloile eka ha hona moo a llang teng coz a re if he was to be appointed minister he would have to resign from all his personal businesses though i dont know how true is that and only few people from his constituency were going to be,negative,multi
@user ne ke nahana u around,negative,Sesotho
my mom is such an important part of my lifeΓö£┬╗Γö¼Γò£ the monthly salon errand ya ga letlotlo is done by her without complaining she sits and waits for letlotlo to finish,negative,Sesotho
@user @user le bona bano ha ba tlo etsa letho hakere ba tlo fumana procurement ho sebetsa batho ba tΓö£┬╗Γö¼Γò£oanang le li director li tΓö£┬╗Γö¼Γò£oana ebe joale baa ba joetsa ba ba fumane mono me ba tla ba siea mono,negative,Sesotho
@user haeba ule maseru mona ntsoare keu fe ka lebelo 5791040,negative,Sesotho
@user nna tota le ha go ka nna jang ka go nna mosetha hela waitse dilo tse dingwe di bata go nna private hela go ya go ileng,positive,Sesotho
@user @user ke hopola hantle,positive,Sesotho
@user actually jang lenyalo monate tlheng like wow man mpelo wa nyalwa today so beautifullover of love,negative,Sesotho
@user @user hauweng hle,positive,Sesotho
fpl yone e bata o le psychic,negative,Sesotho
@user ngoanana ke nahana ba etsa trial and error ka acc eaka,negative,Sesotho
joale uena u reng hon ka public purse do u agree hore mokotla o masoba,positive,Sesotho
@user sisakere ne ba bua ka hore de gea ranks as the worst seasoneng tse fetileng so ke re team kaofela was terrible le eena na se na monyetlanka bua ka team ya hau jwang e le team e kgolo,positive,Sesotho
@user how is this possible rena remaphara impa they using a dslr camera hai mhan which home affairs did this,positive,Sesotho
@user wow ukhou toda thuso mutukana had to unfollow,positive,Sesotho
@user nna im staying home all weekend planning a braai just me and my daughter tau le wena o itsware hantle,positive,Sesotho
bang ketsa bariisharpwena bao etsangcause asorr bao etsa nurse or minister,positive,Sesotho
@user ene samannete thats how they feltkapa ne ba batla ba ope liatla ha fihlake hona hantleee booo eno e kene ka hloohong ea hae ere next time ha nahana ho busa hape a nahane ka li boo tsa basotho,negative,Sesotho
you know how when you encounter racism in botswana you can turn to someone next you and look at them with that face ya is this person saying what i think theyre sayingthen ebe ba e reka kgang ya teng yeah you dont have that thereand honestly i kinda fear that,negative,Sesotho
@user @user ke ne ke tlameha ebe ke ile today ho utloa litaba kaofeela joale ka hloleha ka lebaka la spane empa ke tla o fa lintlha kaofeela,negative,Sesotho
gallants set their sights on chiefs coach Γö£┬╗Γö¼Γò£ soccer laduma,neutral,Sesotho
@user @user kea tloa ntate empa e ka re ba ikarabellang ba ka ruta sechaba lebaka ke lena pele ho social media ntho ne li le opaque gazette tsena ne li bonoa ke ba haufi le process feela ba tsebang ka litloelo tsena tseo bang re bonang e ka,negative,multi
@user @user @user hoseng so nogal,positive,Sesotho
@user ene ba skemp indirect ha rele ko kerekeng kore lwena o utlwe gore tota ha gone go buiwa lenna nou di kereke ke business,positive,Sesotho
@user ke lula ke le motho oa ho qetela oa ho tseba,negative,Sesotho
@user ho jelloana joang koo teng re hle re tsebe,positive,Sesotho
Γö£┬╗Γö¼Γò£ke latlhile botsotsi le kereke ka e tseneΓö£┬╗Γö¼Γò£ lona a la mo utlwa solly mogolo,negative,Sesotho
@user aoo oa qala ka ho hanyatsa molato hehehehehehe empa ke ipotsa fela ha le tseba hore ho pataloa ke government tenders tjee experience e tjee le e nka kae ha e sebe ke tsela eo le sebetsang ka eona hehehehehehee,negative,Sesotho
@user @user @user people are getting empa nna empa nna,neutral,Sesotho
@user oko moshebe oska mosheba ka mosito,positive,Sesotho
@user ke buwa ka yona weekend hore why le sa dule still ka nahana ke nna bothata mare,negative,Sesotho
@user kae kae gare ga lewatle ka skepe,positive,Sesotho
@user @user @user @user @user @user ke moetapele oa mehleng oa linotlolo o ne a hla a join rfp khale haholo eena,positive,Sesotho
@user ke nahana u sa kena hosane what if u planetse,negative,Sesotho
hana u itseng hakere u fit,positive,Sesotho
@user @user @user @user hauweng buccaneers,negative,Sesotho
@user nahana feela ntate mono hape ho thoe kelitopo tsa batho ba bolaetsoeng li maeneng koana ka merusu ea teng eana litopo tseno ha li latuoe ke beng ba tsona,negative,Sesotho
@user lentswe ke laka empa puo ke ya legodimo mabaka a re ramaphosa o tla fenya o theledite ngwanaka empa o tlo fenya ka bo menetja,positive,Sesotho
@user 1st march 201greeting him in the morning keba tliseditse metsi hoseng coz there was a burst pipe in their area so they had no water and then he passed away on the1st of aprilwaiting for me to arrive coz he said i must be called to,negative,multi
@user @user here is another1kra kopanya,neutral,Sesotho
@user you wouldnt act like this if you lost nawa ee boruma go diheta tsothe tse o di itseng,negative,Sesotho
@user weve had countless conversations about him haholo hane re tsamaea ka spane,positive,Sesotho
@user yoh yoh yoh ho etsahala satane bro,neutral,Sesotho
@user hello ntate re ka u thusa joang,negative,Sesotho
@user @user exe ba tlo u hloya ka nnete ena le ten haag o chulo hore goal ya bruno ha batle ha e ka mo etsahalla,negative,Sesotho
@user ke khethile dc hoseng ka10,positive,Sesotho
@user empa nnake bua ka nna,neutral,Sesotho
men the past two days have shown that women really can spoil yall but they just donΓö£┬╗Γö¼Γò£t want tole chelete yagotla renale yona,positive,Sesotho
@user why ke nahana morning negotiations is sex,neutral,Sesotho
@user le gorogile makgowa,neutral,Sesotho
lmao someone said so c is for chelete,negative,English
@user haholo but kenna eo kae reka 3 for r25 food lovers,negative,Sesotho
@user make me understandu mean mosali oa cj sakoane ebe o lebohuoa mang ha hole tje ka eng,positive,Sesotho
@user a lot of my good paying works li sebetsa eu haholo la us empa hangata ke hona moo batho ba hanang hare ba joetsa,negative,Sesotho
baratua ba ka lerato ha se le felile le felile ha le tonamisoe joalo ka botlolo ea tamati soso,positive,Sesotho
@user helek ke koatile kele mona moke teng ho ja wa tseba na manurse a lesotho a pele joang ka skill re philisa batho without equipment but we do enele kae oxygen ka nako ea covidba jele chelete bona basa re thuse ka lisebelisoa,negative,Sesotho
@user eish lefatshe le a fela,positive,Sesotho
@user hi there mpho askiesi rekopa ore jwetse hore oho kae reshebe if re utlwile something ka ndao eo please,negative,Sesotho
yooohhhh if i had not read this book nka be ke sa tsebe letho ka bible,negative,Sesotho
@user nya mogolo ga ke dumalane such prediction e bata world cup nkabo ele seyo legale may we will come back here,negative,Sesotho
@user hai ehlile batho ke lintho tse fapaneng haholo,negative,Sesotho
@user @user accommodation e etsang,positive,Sesotho
@user bale ngwaya dihlogo ka kamoreng aowiii,neutral,Sesotho
@user @user o tla patela a ba are thobela basadi ga ba raloke ka chelete,positive,Sesotho
lori is 25 you are pushing 40 you cant be wanting to move like her you will die single you had your chance,negative,Sesotho
@user o motle ausi,positive,Sesotho
ke jaa independence mo lapeng tota,neutral,Sesotho
me sho ntate matemotsamy dad yah me ne ko dumedisa felahim hape kaosane ke month end a re dumedisi batho ba tlare kgopela cheleteyoh,negative,Sesotho
@user waitse kana oka fitlhela le bua le le serious gore,positive,Sesotho
lefatshe bulega ke tsene,neutral,Sesotho
@user ke ee ke bone a etseha ha u sebelisa olive oil,neutral,Sesotho
not my dad thinking he forgot his bank card mo lapeng kante e mo go nna,negative,multi
@user konje we dont learn le rena,negative,Sesotho
ka chelete ya mang hleng,neutral,Sesotho
maoto a kgotso a tswang go monghadia tlile lesotho lefatsheng la madia re a sa hlaha satanΓö£┬╗Γö¼Γò£a thothomela,negative,Sesotho
@user @user @user we donΓö£┬╗Γö¼Γò£t care we are going to write how we feel and how i we want if onale bothata ayi batle rena ewu,negative,Sesotho
chan qualifier report south africa v angola 04 september 2022 Γö£┬╗Γö¼Γò£ soccer laduma,neutral,Sesotho
le nna ntsenyeng tlheng mama,neutral,Sesotho
staff room sa ko turf high se tletse batho ba ba maaka re leboga prof kganyago for bringing jacobeths groove back amp,positive,Sesotho
@user haii hantle ho etsahalang ka taba e ea bochonihe ho choneile,positive,Sesotho
@user le qadile neng to call this free hand cause ke essence,positive,Sesotho
@user rea mo lebohisa,neutral,Sesotho
@user thank u ne ke nahana hore u tla re ke tlo u bona,positive,Sesotho
@user @user @user madume thabiso mo ke dulang tengseemo sa ditsela ke mathata helapuso ga e dire sepe kago siamisa ditselare itlhobogile rele baagi tamasikwa,negative,Sesotho
ntate thuso motaung has grown people singing for a debonairs triple decker voucher on radio at117 on a friday in january arrest this man,neutral,Sesotho
@user ache ma afrika borwa a tletse paradise rato laka,positive,Sesotho
kana today ke derby ya cup cake ko kae kae mafaseng sekhukhune youll never walk alone,negative,Sesotho
haaiiiiiii bona papagago o etsang,neutral,Sesotho
@user @user ole motle syo keng nkare,positive,Sesotho
@user ene li qalile league hantle ha ke tsebe ho senyehile kaebut bantu ea shapa eona,negative,Sesotho
@user @user ebe ke ha ho etsoa joang,negative,Sesotho
172 hoja o ka re balla melato ya rona re ke ke ra phonyoha pela hao morena empa bohale ba hao leha bo ka tota bo tingoa ke mohau ha re sokoloha app,negative,Sesotho
@user aaah sorry my lovele ile la baakanya kgang ya teng,negative,Sesotho
@user ga a arabe mathata nna re bata go itse,negative,Sesotho
basotho dumelang le phetse bana beso hoseng hona,negative,Sesotho
waxx canΓö£┬╗Γö¼Γò£t be drinking again after he blacked out twice ko lapeng,positive,Sesotho
@user i should fetch u u ntso tosollana le mosebetsi ka skolo le today,neutral,Sesotho
@user @user @user @user @user @user @user @user @user @user,neutral,Sesotho
volume e joang hae moo,negative,Sesotho
@user go boima le peer pressure e ya re gatelela,negative,Sesotho
@user tlowela ngwana hasale hole haholo,negative,Sesotho
@user taught that to lori,neutral,Sesotho
thuela le nala mohales hoekthuela le na la mohales hoekha mese e fasoale nna kea u fasa ona oakaetsang pitiki,negative,Sesotho
take a sneak peek whats in this weeks edition of soccer laduma,positive,multi
god of the trees god of the god of the water god of the wind god of the soil god of our ancestors and god the creator be with us today kganya,neutral,multi
lefelleng moo ke tsamayangho lahleha ba bangata,negative,Sesotho
@user nahana ele jubao,negative,Sesotho
@user ke tlamo etsang hle ms_gorgeous85 ha tshwana le nna,negative,Sesotho
@user mabangathi khetha o1 la ngingaba confused kanjani,negative,Sesotho
@user ha ho lokisoe nthong tsohle ntatehaeba ba ile mono hantleba lokela hore ebe bana le boiphihlelo le litsebo tse hlokahalangempa haeba ba kene ka bo soareha ba khutle baholoane ho tlo qaloa qalong ntho libe straight,negative,Sesotho
@user empa theres nothing to love about being abused,negative,Sesotho
@user @user hantle jwang,neutral,Sesotho
@user hike qala ho bona motho a motle tjena,negative,Sesotho
@user ga ona kwii mo lapeng laitiaka o dire fast fast,negative,Sesotho
@user @user thobela nna ga ke bone go rulaganya megwanto e ka ba tharollo puso ke yona fela e ka thusang go baakanya bothata ba eskommpho mokoena from jericho,negative,Sesotho
@user @user a te lwapeng a mpolelele gore o rekisitse tse kahe modisa areng,positive,Sesotho
@user @user bo poeseletso o ba bone kwa lapeng akere lala ke bone ba go rutileng go bala basadi fo pele,positive,Sesotho
@user yes it happens a lot basadi rena akere ra bolela,negative,Sesotho
@user @user o ka fumana le wena o ngwaneso,positive,Sesotho
same thing with this other designer kgang ya teng e ne ya nkama blind nothing youtube university and sewing machine from game canΓö£┬╗Γö¼Γò£t fix,positive,Sesotho
@user ke kopa email address so hape ha ke e bone hantle ke batlela mokgotsi wa ka hlena he was a control room operator here at sibanye stillwater nou ha a sebetse,negative,Sesotho
@user ha re a thaba empa re kgotsofetse,negative,Sesotho
@user lewatle ska nteka tumelo,positive,Sesotho
monthly stipend sa gagwe se feta le salary tΓö£┬╗Γö¼Γò£a rena hai ka nnete skolo sa nyakega sies,positive,Sesotho
this is how i got over my depression kana in the midst of people mo lapeng heeeeee ijo,negative,multi
ntho e bo doro ba etsang tebogo is not right,negative,Sesotho
@user i could have told you that from the first tweet cause anything but mosotho bruh,negative,Sesotho
@user a ko batle hape na o kene high school kaeeskaba ke stjohns empa ke utloa ke belaela bereng cos bana babo ba kene berenga ko nthuse moo,negative,Sesotho
@user le nna ke nahana bb,neutral,Sesotho
@user ke sure o betere nou,positive,Sesotho
setse ke bata go nwa gape,neutral,Sesotho
@user e betere eno,positive,Sesotho
ke nahana ke otluoe i date guys ba sa rateng bolo helek,neutral,Sesotho
@user liboka tsa ho qetela li today,negative,Sesotho
@user ke hantle tanki obe le letsatsi le monate akere,positive,Sesotho
@user i wonder ho tlo etsahala eng ka rfp given the court judgment ea today le their appeal,neutral,Sesotho
nka ipona kele ko lapengΓö£┬╗Γö¼Γò£ but thatΓö£┬╗Γö¼Γò£s not got another 3 hours,negative,Sesotho
prof eena o hlakile hlee ha a buoa o no ka fumana re entse lerata re loana ele strike a fihle a re bitsetse ka pela netherlands hall ha re fihla moo a re kokobetse re khutle moo re le calmatseba ebe o re jele ka lihloohong,positive,Sesotho
@user @user bohlasoa bo kang ba lireform ha ke batle ho re ke re ho na le ho itlhotlhatlhola hoa basotho e bang manyelakoaeng ao e ba nnete joale ba tla meneka ho fihlela neng ho chechisa likhetho ke molemong oa basotho kaofela kapo seh,negative,multi
@user o na le kgang,positive,Sesotho
@user oele he mathali ntse ke qelisa empa hee hakena feela matla,negative,Sesotho
@user how e felile joang,positive,Sesotho
covi19 vaccine government sends important message to sansfull story bonang big brother thuso andre de ruyter condolences lesufi kabza,neutral,Sesotho
@user @user empa nyeoe tsa bosholu na lichelete tse amang le mp tsa rfp li teng makhotleng,negative,Sesotho
@user naare ga wa dira drama ko primary pretend wa collapse ebe o isiwa lapeng,positive,Sesotho
@user i wake up so early because of worku tla fumana ke khathetse horeeven when i am not going to work i am up at witch hours runningyho aa hle,negative,Sesotho
@user nna se ke tla emela ho bona litaba hantle hosasa hoba he khale li tsoa,negative,Sesotho
@user @user @user monna o kanna wa rwakana vele its all u knw clearly not bright ha hona motho anang le kelello aka sokelang makwerekwere for their problems when makwerekwere ese bona ba nkile lefatshe la lona haba nka diphoolo tsa lona,negative,multi
@user ke bata go hudugela hela ha go wena,positive,Sesotho
kore ke daemane hantle fam,positive,Sesotho
@user well done champ fumana,neutral,Sesotho
i really hate hearing Γö£┬╗Γö¼Γò£saubona mfethuΓö£┬╗Γö¼Γò£ Γö£┬╗Γö¼Γò£yebo mfethuΓö£┬╗Γö¼Γò£ as a greeting dumedisa hantle,negative,Sesotho
@user haowa sol o etsang moo,neutral,Sesotho
he will be playing against the team soccer laduma loaned him to,neutral,English
@user o ho hle e seng molloha ho le tjena mosotho o ee a re e khoptjoa e le maoto mabeli,positive,Sesotho
@user o nwa coffee ga kahe mo letsatsing same same,positive,Sesotho
@user go tlabe gwa loka ka kgang,positive,Sesotho
@user ka leboha haholo fela,neutral,Sesotho
@user kopa chelete ya moriri,neutral,Sesotho
@user o hloka thuso o batla go peitiwa ka sunlight liquid le mohlaba wa noka,negative,Sesotho
rivalries aside arsenal is doing well this seasoneven if they dont take itke tletse still,negative,Sesotho
@user youre smoking perfume of flowers wenayoure tweeting shit thuso,negative,Sesotho
@user @user a re Γö£┬╗Γö¼Γò£strangerΓö£┬╗Γö¼Γò£ iyhoo wandile tlheng,neutral,Sesotho
@user o etsang vandas,negative,Sesotho
@user dnt worry basotho ba heso ketlo le etsetsa e hantle hampe next year,negative,Sesotho
bana ba basotho ba filoeng mesebetsi skebe laba leleka empa joale ke nako ea hore e mong lee mong a peke basa khoneng ho peka ba beoe ka thoko,negative,Sesotho
@user ke le saleng hantle,positive,Sesotho
my dream rock your team outfit e hloka dream bodyΓö£┬╗Γö¼Γò£joale ha ke nahana gym nkampa kana mascot,negative,multi
@user ke tseba hantle,negative,Sesotho
le saleng hantle @user,positive,Sesotho
@user @user bathong wenaΓö£┬╗Γö¼Γò£ waitsi ke nahana o tla mpotsa address so you can send itΓö£┬╗Γö¼Γò£ kanthe o hloma byang,positive,Sesotho
@user uhu antihistamine e gorogile yang ko go jeseng yaanong,neutral,Sesotho
@user eno ea ho qetela ea cheater,negative,Sesotho
@user @user @user ba bata go golega kgosana okare le tetse ka botswana jaana kgosana o ka itse jang gore o lobile melato e dirilweng ko bo kasane,negative,Sesotho
@user hoseng hakana and your boy is leading this gossip session mme maleseli has to go along with it so school prep can go well i donΓö£┬╗Γö¼Γò£t know if he knows i can hear them,positive,Sesotho
@user basali bona ha re ba share haba lumela,negative,Sesotho
lmao that sounds chinese enough side bar everytime i bump into ntate thuso i have to hold myself back from bursting out in laughter,neutral,multi
@user ke eona ntho eke e chong chelete ea sechaba e ntsa ea kae,negative,Sesotho
@user o motle hle,positive,Sesotho
@user feela wasco eona e tella domestic consumers ba tsoa re lelekisa mona ho re re patale mekoloto ea rona ba tlohelletse muso ke le likhoebo tse kholo tsona ntse li kolota chelete e ba e bokellelitseng ha ba patala lec keng,negative,Sesotho
@user @user agona motho aye a tswang kzn atlo go chelela poisonbatho mostly ba bolaya ke bao ba phelang le bona,negative,Sesotho
@user ska re 60empa u ba bona ba na le bana ba bona ba baholo well leha ba nyala at 60 it says ba qeteletse ba bone hore ho ipherekanya ha ho thuse,negative,Sesotho
@user heres to more years of lovelaughter and health modimo wa kgotso a le etse hantle,negative,Sesotho
happy burna boy day jozi hauweng,neutral,Sesotho
@user o re a shekeshe mekeche ea ho qetela pele ho buloa,positive,Sesotho
@user we have been without electricity from 8pm till nowre kopa thuso,negative,Sesotho
le bata go koba conte ne,neutral,Sesotho
ntle le haeba che le sekolo sa arts and sports ha le sebatle hoba che rea tseba lona le sekolo ke mathata,negative,Sesotho
@user ke li tseba hantle,positive,Sesotho
@user @user @user @user ha se lefufa oa tsebakhaello ea boiphehelo le ho nahana ka tsela e khonang le linakoitΓö£┬╗Γö¼Γò£s sad to watch,negative,Sesotho
@user sera se seholo sa mosali e mong ke mosali e mong,negative,Sesotho
nna ha ke tla rfp mona ha ke ea tla ke hulanyana mokhothaletsuoa ke tlile hobane ke setse ntsokoane morao7th oct 2022 ke tla be ke ilo khetha hore ntsokoane e be prime minister moruooooooooo,negative,Sesotho
helang ntate padi lehohla na o ntse a le teng bannana o utlwile hore maponesa a qetelletse a tshwere koko e moholoho thata ka nnete koko e re qetile bathong lefifi ke la bo nka ntjanaho ya tshabeha ho boima heheheheheeeeee koko keeooooooo,negative,Sesotho
@user @user @user mme gone ne o raa o cuddliwa kemang lenna nekere kea botsa re bata leina,positive,Sesotho
lefatshe la fela ka nnete,positive,Sesotho
@user @user @user thuso the milk costs the same everywhere over a 100 for a carton of 6 that ia not logic that is a poor argument bruh,negative,Sesotho
@user aranda e tla etsa factory lesotho neng hantle that doesnΓö£┬╗Γö¼Γò£t sit nicely with me,negative,Sesotho
@user ke nahana re tle re enele pele re shebe na e sebetsoa joang rsl e ntse sebelitse strategy se sa itseng trunking to deal with batho ba sa ikobelang molao oa lekhetho,negative,Sesotho
@user @user @user keng o qadile shotpan,neutral,Sesotho
@user ne ke nahana u bua ka bolo,negative,Sesotho
@user hantle haholo wena,positive,Sesotho
@user if they dont agree let them give us the word of halloween in their native languages then we will be convinced its part of their culture if they have the word ke mosotho i dont have the word,negative,multi
i pray i never go through that ever nahana banaache makhado,negative,Sesotho
lori dating that snowfall guy now damn ngathi akananhliziyo aibooooo,positive,Sesotho
@user nahana fla ka birthday jo bo thwe days are numbered,negative,Sesotho
@user i dont know be ba etsang with this design but youll see theyll have a facelift by jan cause reviews mock the design,negative,multi
nkile wa betswa ke period pain o utlwe mangwele a tshwarwa ke sedidi same time,negative,Sesotho
wena hee u tshoana le nna hantleha ne ke sa utloisise taba eane ea lona ea ho ipha li m5000,negative,Sesotho
@user @user sheho latela litaba tsena tse mona ha hona monna a ka khotsa monna e mong botle ka tsela ena is in denial hore mokhothu e ne e le dpm ene o hlotsoe ke mosebetsi oa paramente alone joale ha ke tsebe ba nahana naha eona a ka e etsa,negative,multi
motho a motle hakaalo,positive,Sesotho
@user motho ha isa ntoa bathong o oa bonahalahahaha ka lentsoe la ntt monyane moleleki,negative,Sesotho
@user ke nahana manager tse ngata li shebile height ea hae,neutral,Sesotho
in pictureseff free state councillors of moqhaka on oversight at several schools in moqhaka,negative,Sesotho
brai located there ka 2006 there is no progress there i left ka 2020 i have my own place now moqhaka doesnt give a damn about what residents wants,negative,Sesotho
@user nna kobo qetela nou,neutral,Sesotho
113 e ba thaba bana o ba latang ba re jesu ke neng re o bitsa ha ba tshabe serame sa lebitla ba re lefu ke motsoalle wa bona,positive,Sesotho
baby said i mustnt send him boobie pics anymore mara ena ke mang a itseng he must open pics a le on site yhu,negative,Sesotho
@user na che ke utloa hantle na bohloko ba hau bo kolla kaelema hae mono,negative,Sesotho
@user rena re broke mmata iyoh,negative,Sesotho
@user o etsang ka bophelohelang keya phela,positive,Sesotho
@user ke pele ho covid ba re le bangata haholo fele ne le thusoe,positive,Sesotho
@user hi dinonza i am signing the register thoroughly enjoying sir rod stewarts concert akere danko ngwana ya hodisitsweng hantle,positive,Sesotho
this weather is giving e bata tlc,neutral,multi
@user u motle hona hoo congratulations,positive,Sesotho
@user eeeeh nagana ba e betha koa tarventheoweding bo moreki ba efa dinyatsi chelete amp,positive,Sesotho
modimo nkare a nka go etse hantle just when you think the year is almost over and you must just think about leaving all dreams and goals to 2023 a go fe a Γö£┬╗Γö¼Γò£tadaaaΓö£┬╗Γö¼Γò£ that ends your year off on a high note,positive,multi
@user the only we way gonna make it work here is a list of things we should have hlompho boikokobetso mamello lerato all four contain so much in life if one is broken 3 wonΓö£┬╗Γö¼Γò£t function they will all be broken,negative,Sesotho
@user @user mathata fela morenaka,neutral,Sesotho
@user he must replace thuso motaung at lesedi fm this guy is talented,neutral,Sesotho
@user @user @user @user @user uena empa u kareng ha u le na,positive,Sesotho
@user mosotho wa setlaela,negative,Sesotho
need the dmre is issue a statement that the next 5 bid windows tsa ipp must be to100 black owned entitiesyoull see hantle how capital doesnt want african children breaking bread,negative,Sesotho
@user u ntso etsang hore e theohe,positive,Sesotho
@user atseba e sale ntse ke batlana le mantsoe akang aaa ntate kea leboha u qeta ho etsa hore ke hlokomele hore what i have in mind is normal ne se ke na le ho nahana hore e skaba ha ke tsotelle,negative,Sesotho
@user ebe ke hobaneng hau nahana,neutral,Sesotho
@user dph le sprite li hlola oroso haholo ka friday,positive,Sesotho
1ms supporting act@lastborn Γö£┬╗Γö¼Γò£hauweng,neutral,Sesotho
@user o robale hantle sesi,positive,Sesotho
@user @user sesotho le setswana sare monna o bolawa kese a se jeleng,positive,Sesotho
