text,labels
nyathi ≡ƒÿà≡ƒÿà≡ƒÿàuyasiqhuba iskhathi yena ,positive
"thats too bad, phephisakodwa ke ungakhali kakhulu, inyanga seyizophela≡ƒÿü ",negative
wena angifuni no ku khuluma nawe shem ,neutral
lmaoooo limnandi bakithi ipapa ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
umuntu angagula ngekhanda mengaphika nani bakithi ,negative
"nyathi ungazimosheli iskhathi bafo, ",positive
kodwa wandile anoke niphumule bakithi ≡ƒÿò ,negative
c ≡ƒñú≡ƒñú≡ƒñú≡ƒñúbanele inkinga anizwani ne sobriety nina ,negative
makavelli vii kacane kancane uyavela ,positive
ey ukhala ngoku khafula endlini ,positive
buhle cc wami ungakuphi kodwa bakithi ,positive
"ngamlahla because of that ≡ƒÿÆ everytime i told him how i felt about something we argued, ngavele ngabona ukuthi angeke shem ",negative
"murai nope i didnΓÇÖt ghost this one unprovoked he probably forgot to tell me heΓÇÖs married, and at the time we met he was at my workplace picking up his wife who works at the same hospital as me he knows why i disappeared whatΓÇÖs worrying me is why go after me kangaka ",positive
yaze yafana nayo ngempela ≡ƒÖê ,negative
letha inja phela ngicela ispecial delivery ,positive
"nondlazi hey, ibimbi lanto kakhulu ",negative
"11 lutho, just an observation after watching rhod izolo ",negative
yebo bakithi ≡ƒÆ» ,positive
lol hamba sificana phambili ,positive
"gumz a masterpiece gumz ≡ƒöÑ stand a chance to win great prizes this summer, all you have to do is activate any of the trending tunes belowΓÇï1 sponono 19032 ΓÇï2 umsebenzi wethu 19038 ΓÇï3 too late for mama 19042 tsh ",negative
can i take you to enyongweni eatery in nyanga township i promise you youΓÇÖll want to return every year please ≡ƒÖÅ≡ƒÅ┐ ,positive
chrisexcel102 cabanga u abo van wyk kuma backroom≡ƒñú≡ƒñú≡ƒñú≡ƒñúhaai bayakele ba phuphe shem ,positive
"ayi ingoba awazi ngempela, no place in kzn comes close to cape flats alone nje ",positive
ukinsouthafrica boyce brettherron ewaldbotha kodwa mbali ngyawbona umsindo lapho ngyanbuka impela kushibile manje ,positive
"molefe what a banger molefe ≡ƒöÑ stand a chance to win great prizes this summer, all you have to do is activate any of the trending tunes belowΓÇï1 sponono 19032 ΓÇï2 umsebenzi wethu 19038 ΓÇï3 too late for mama 19042 tsh ",negative
sicelani uxolo ishebo ziyabola emafrijini manje ,negative
"abantu bayazithanda izindaba yoh, why are they all standing like that ",negative
kweliphi icala ,negative
hey hey my f im well akufani ukukhala i hope youre doing well kwelakho icala≡ƒÖÅ≡ƒÅ┐ ,negative
"kungcono ukuphathwa ikhanda , instead of ubuhlungu obuzwa if phethwe amazinyo or indlebe right now i have toothache and earache ≡ƒÖå≡ƒÅ╛≡ƒÿû lapho have work too do ",negative
bafo ngifikelwa ukwesaba ngibona laba abalwayo kuma comments balwela amabhunu ,negative
re tshela thupa straight ,neutral
michaelbucwa uyahleka yin lena abayenzayo aii yazi uvele ubone ukuthi weee ingakho behlezi besihlekisa i ≡ƒôì ise primary school thizeni ,negative
kodwa lutho imali kungena ,negative
ngathi izinhlokosela zingagcwala ubuso woze uyeke ukuleva okomfazi adult wife kids umdala ,negative
tmgubhela we sya kazi izindaba ezingaka uzazelaphi classmate ≡ƒÿé ,positive
co ec 91 soze lutho ukube uthi gp 100 i would understand ,negative
"into engingayibeka kulo mdlalo o coach bobabili tactically, badlala ibhola elihlasela umdlalo uqala kuze kube uyaphela ingozi cape town city ingahle ivuleke emuva supersport ithole elinye igoli ngesizathu sokudlala ama long balls ",negative
hhayi usukhumbula usharon manje ufaka nathi ,positive
jaysvillas tjooooo nje ngohlasela amafutha qha ,positive
"stoney, medlemon and disprin mazenze umsebenzi wazo kubi ",negative
akashiye ngempela umpho ufana mosma ≡ƒÿé≡ƒñú ,positive
ngicela ungenzela amabrownie ,neutral
silokhu sibona sir trill ekhotha umlomo njalo sithi uzenza icharmer kanti no indlala ,negative
that look ekugcineni ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé ,positive
fm cha mina akaze ngoba ngiyawenza umsebenzi engiqashelwe wona mase ezama ukungifukuzisa ngiyamtshela ukuthi yey uzosebenzela ingane zakho nami zosebenzela ezami asihloniphane ngobe wnb ,negative
msimang yena uyi type ngempela ≡ƒÿì≡ƒÿì≡ƒÿì ,positive
moyes gorare ke tshela si movie≡ƒîÜ ,positive
muzi sikhule kuthiwa uma kushoniwe ekhaya siyazila kunezinto esingazenzi ngoba sizodlula and uma ungumfelokazi uyazotha uthobeke but konke lokho ukufunfiswa kini and njengamanje kuyacaca ukuthi lo uphuma ekhaya elinjan ,negative
≡ƒñú ngicela ukukvakashela≡ƒñª≡ƒÿà ngifuna kuzibonela ngawami≡ƒæÇ ,positive
cishe ngaquleka ,neutral
"kusuka esmeni sokukhula komuntu , akhule kabuhlungu emncanenje , yena egcine eshintsha inqondo yakhe agcina enze iphutha ≡ƒÄ╡≡ƒÄ╡≡ƒÄ╡≡ƒÄ╡≡ƒÄ╢≡ƒÄ╢≡ƒÄ╢ ",negative
is that the correct foundation color for jaypees skin tone≡ƒÿƒ convince me ukuthi im actually not mad≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ bbtitans ,negative
kanti le ndaba yokuthi umarshall dlamini kukhona abebehlelela ukuthi uzobukawa beniyithathaphi ,negative
"yhu these two rub me the wrong way,at least abanye are seen around even though bengenzi lutho,these two ude ukhohlwe ngabo kodwa they are there ",negative
amanga on a sunday ,negative
"fm mina ngicela ukudla nabaleli bonke nani bazakazi bam, king amp queen ≡ƒæ╕ΓÖÑ≡ƒÆû love you ",positive
"dear julius s malema , continue to fight for blacks, sifela ibala lethu,umhlaba wethu, nomcebo wethu ",negative
aphi amanzi asefolweni maspala ,neutral
mawrongzjnr phuma ngokushesha ≡ƒÿ¡ ,positive
"khululeka sizodilika , ibutho lonke lizofika ",neutral
that caluza guy got killed manje sebeqalile bashisa imoto or was that just an unfortunate incident ,positive
uyabonakala ke ukuthi ugezile namhlanje ,positive
ent i team yami yonke≡ƒñú≡ƒñú≡ƒñú ,neutral
sakhi b1 hhayi ingozi lomuntu ≡ƒ½í ,positive
"sawbona msakazi,ngicela ukucothoza nawowonke amakhize esigodini sasentapha ehlokozi fm ikhayalokhozi ",positive
ngazi uban lo dutshulwayo manje ≡ƒñªΓÇìΓÖé∩╕Å ,positive
place bakithi kwaze ngeke akakhule lomfana babuye bezohlala nobaba ngeke ,negative
"ntandosgudla maybe she loves modeling, and she is half naked in a proper way wena xosha alone why u feel threatened ",positive
walikhuluma iqiniso mtane nkosi ,positive
sengathi unovember engeza nemali ≡ƒÖÅ≡ƒÅ╜ ,positive
"its better we call them abska mzilikazi, the name matebele came from the bapedi describing those who can long spears, isizwe sika mzilikazi,are they zulus, yes they are, they come from the south they speak isizulu although with many languages, found in the north ",negative
lolz yabona nje musakwazi ukuthi bathong ungowalanake wena ≡ƒ½ú ,positive
≡ƒöÑ oficialy gcina madonsela award wining entrepreneur≡ƒæÅ thank recognizing black excelence ≡ƒÖÅ ,positive
"enhle should understand i pain ka valentine, being cheated on emshadweni, yena umbali uyeke indoda yakhe ngoba ethi iyafeba, ufuna ukuyibhidlizela enye ingane ≡ƒÖä ",negative
azivalwe lezincanga okuthiwa pitbul sengesaba ngisho isithunzi emalokishini ubona okuyinja nyana azivalwe ziyingozi bakithi ,negative
"an absolute banger stand a chance to win great prizes this summer, all you have to do is activate any of the trending tunes belowΓÇï1 sponono 19032 ΓÇï2 umsebenzi wethu 19038 ΓÇï3 too late for mama 19042 tsh ",negative
real tumelo bhodlela bakithi≡ƒÿÑ ,negative
njoko gwele zola cabanga millions of people vote for you amp wena you decide if some gogo is elected you will resign instead of fighting for your voters what nonsense is that ≡ƒÿ│ ,positive
ugesi usuyivela kancane impela ,positive
siyojabula ngoba siyohlomula lukhulu kuleyo interview ngomlando wonyazi lwezulu siyoncela kongwansile umbele kakhulu kazi thina esingenayo incazelo ephelele ngomlando wamanazaretha ,negative
qhubeka bhuto ufundis umkakho bhuti umncenge uzokwazi ,positive
q uya speeda and amajitha afana naye end up engenalutho in life because bathatha abantu besifazane kancane money not everything and he needs to understand the power of internet one day his actions will catch up with him uyajola99 umzansimagic ,negative
"umhle kangaka tshomi ≡ƒÿò, utheni uqhuba ilamborgini lomfana ",negative
batshele ukuthi owami wena ,neutral
why did we drink like that izolo ngempela ,positive
theboy is good lies but qhubeka ,neutral
ibuhlungu ke lento ,negative
haww kanjani manje≡ƒÿé≡ƒÿé≡ƒÿé≡ƒñú≡ƒñú≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,positive
kameni kancane madoda ,positive
"ukuthi awazi wena, bayashaywa oles ",positive
ndingayeka yonke lento if uenhle mbali angandicela ba ndibe yi nannyboyfriend yakhe ,positive
"zanewsflash nom ubani osondela eduze kuka noma ubani ephethe isikhali esiyingozi, loyomuntu ufaka loyomuntu asondela kuye engcupheni yempilo yakhe, kwanempilo yakhe uqobo ",negative
s malema inkinga yenu nonkhe nivikisana ngathi ,negative
mthethwa7 haibo honestly who are we ngempela ≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú ,positive
"having ikhanda eliqinile about things and wanting to do things my way all the time has always gotten me on the wrong side of things i am slowly realising that sometimes my way is wrong, and it is good to listen ",negative
m e hlakile taba ea lungile ,positive
khuluma nami wawukhalelani mhla ukhala etaxin ,positive
dakbeezo cha sivezelwa impilo umuntu ebeyiphila bengalokhu beqamba amanga abefundisi bethi ubuzilungele uthanda ne sontothese days kuvela ubunjalo bakho noma ulele ubheke phezulu ebhokisini ,negative
two welele inganekwane ,negative
26 uvin is too nice bra mnandi kakhulu when he is comfortable ≡ƒöÑ≡ƒöÑ≡ƒÖî≡ƒÅ┐ ,positive
ziyakhala manje ≡ƒñú≡ƒñú≡ƒñú≡ƒñú ,positive
sebebonile ukuthi sinemali yokuganga ,neutral
za ey inkinga le mina ngidla konke kodwa umungakhipha ushakalaka nje ziyasha ,negative
"already saw 2 different tweets this morning, they are complaining about us not finishing our tweets in englishkanti ababantu basifuna ntoni kangaka≡ƒÿ│≡ƒÿ│≡ƒÿ│ ",negative
"hand gesture, amanga aluhlaza cwe ",negative
bbtitans guys nizwile ≡ƒÖä not bbtitians bbtitans ,negative
adv watujayp ukuvubela impi is to start a war ,negative
highly flavourd ≡ƒñú ≡ƒñú ≡ƒñú andahleka yilempendulo ka yandisa ≡ƒñú≡ƒñú≡ƒñú mna i got mugged ethekwini and i appreciated otsotsi base mthatha coz ubona xa ufika endlini uba ithathiwe iphone no trauma yokhonjwa ngemesi or uvalelwa indlela ngabafana love their work abantase ≡ƒæî ,negative
"heyyyi, bengilwa netiger ekuseni njengoba ilele ka so ",negative
fm ngobe ukhozifmwnb we ngobe kwaze kwakuhle emabhida kuvuke usinga sekunyakaza ibutho hau suka hayi bakithi ,negative
zw ngicela ikeke please ,neutral
ukhozi fm mamkhoza mina ngbona ukuthi umfethu akasale esehamba ayoxoxa momama wentombazane kusale sekuba amalobolo leyomali ngoba ngathi ngeke isabuya≡ƒñö jabulujule teatime nosihlesibisi ,negative
sawubona phambili ≡ƒñ╖≡ƒÅ╜ΓÇìΓÖé∩╕Å sm ,positive
"inganekwane, a delusional bunch ",negative
precious sapoliceservice gp commsafety traffstats ekurhuleni mogale cityofjoburgza what are you saying exactly angithi nithi u goverment doesnt offer jobs now you come and tweet this awume kancane manzima ,negative
avoid women baby dadies uzozisola alows smash life sewer rats claiming moved ,neutral
"tv imbewu cancelled after 5 years on air, has pulled the plug on the kzn based telenovela the show will end in the 1st quarter of this year 2023 kgopoloreports imbewutheseed ",positive
"cabanga nje mina angikaze ngaba nayo,anginandaba nayo nje ",positive
iphi inkinga mnikazi womhlaba ≡ƒÿé≡ƒÿé≡ƒÿé ,negative
twiter verification badge kuzocaca icala ngqumenu ,negative
samsungtv ngiyabonga kakhulu mbulazi kwazise ke ukuthi iΓÇÖve got a very bright personality ≡ƒÿâ≡ƒÿâ≡ƒÿâ ,negative
dzumasambudla awuqale ngokuyeka isilungu ngoba siyakuluma ukhulume isintu khona uzozwakala ukuthi uthini ,positive
nedbank awulenzi iphutha shame ,positive
sihamba sodwa ehlane singahlomile mbulazi kuyadingeka ngempela ukubambana kuhlonyiswane ,negative
xita hlupheka ,negative
capetowncityfc still kuhle edbn ukuthi okwamanje sisakwi phase nje edlulayo ,positive
kodwa bakithi ithanga wema≡ƒÿï ,negative
nithini kodwa ngeprphecy kathembi bakithi ≡ƒÿç ,negative
owafaka umphathi company caled told hire release lost umsebenzi wase tswane municipality ,negative
helenzille kodwa usithukelani kangaka mfanomdala ≡ƒÿ│ ,negative
azola umsebenzi at one of the biggest broadcasting companies ,neutral
"syantombela but y dont you just block her profile ngicela nihlukane nosthe or niyamfuna, i dont know but maybe something can be arranged, she can hook you up, you know discreetly ",negative
lezi nyoka zifana ncamashi nezinyoka ezazi bekwa zona emhlombe ema zooΓÇªaziyona ingozi ,negative
"siyakhuleka enkosini enkulu yasekuphakameni ≡ƒÖÅ≡ƒÅ╗, siyacela nkosi usihambele phambili endleleni yethu ubusise nkosi imisebenzi yezandla zethu, uphinde usivikele emazinyweni ezitha zethu sula nkosi inkungu esemehlweni ethushembe nyazilwezulu, ameni≡ƒÖÅ≡ƒÅ╗ ",negative
"nne i pack di notes accordingly teng mochining mo, i wont put bo mandela emong a shebile phezulu the other one phanzi ngeke ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé ",positive
buka bahle knjn bayafanelana banike years bazobe sebegqigqa izinkantolo umshado≡ƒñú ,positive
"usyacela akangihlukubezi angithi nizwile ke bantu basemzansi, phumani ezindabeni zabantu ≡ƒÿå≡ƒÿå isencanelengane ",negative
gillian and co cishe kufane ,negative
kween love7 labo sobabona sesiyolobola bo okwamanje zisasha kudleke umuntu ≡ƒÿé≡ƒÿé ,positive
nanonood na siya now ,neutral
ukhozifmvabs ukhozifmvabs ukhozifmvabs ukhozifmvabs ukhozifmvabs sesivukile ngicela ukuvuka nomzala wami uchristopher makhoba erenk ebay uhamba ngequantum emhlophe inrb 93345inhalisuthi ke lena ave iclean ,negative
okwamanje isdingo asikho ,neutral
awafumana nini amanzi ke ngoku ,neutral
"nyathi mfoka nyathi, ozungu bayehlisa kakhulu ibar lapha bangidida bangiqeda ngoba isenzo sabo asihambisananga nemigomo ababethi bazibekele yona neqembu ",negative
eyi bakithi ,negative
"wena nje i give up with you ≡ƒÿ╣≡ƒÖî ukuthi nginyanyiswa hilo mgodoyihe probably thinks im just some weak guy who hides behind a keyboard bra yami mina i have been stabbed 9 times,shot at and im still here fear is something i dont have ",negative
sapoliceservice za wehhh inganekwane they must go to khayelitsha those parliamentarians are tired whod want to be in jail for them 2024 we are forcing them to retire bheki cele is worse ,negative
mara khante winisi bobotlhe hai tshela thupa ,positive
"langa newzroomafrikaa uya koxoli mngambi bafo, ey ngoba banamanga labo bantu futhi bachema nalomongameli okhona, angisho ukuthi phendula, ngoba ungumsebenzi wakhona ",negative
sigujana za hai nami angazi but atleast from now on siyazi ukuthi ba chamiswa ipipi ei 1 ,positive
